제목,시간,언론사,본문
"뉴욕 증시, 단기과열에 이익매물 선행 속락 출발...다우 0.34%↓ 나스닥 0.35%↓",2022-03-31 23:18,뉴시스,"[서울=뉴시스]이재준 기자 = 미국 뉴욕 증시는 31일 그간 급상승에 따른 단기과열 우려로 이익확정 매물이 출회하면서 속락 개장했다.뉴욕증권거래소(NYSE)에서 이날 오전 9시59분(동부시간) 시점에 다우존스 30 산업 평균지수는 전일 대비 121.38 포인트, 0.34% 밀려난 3만5107.43을 기록했다.스탠더드 앤드 푸어스(S&P) 500 지수는 전일보다 11.36 포인트, 0.25% 하락한 4591.09로 거래됐다.기술주 중심의 나스닥 종합지수도 1만4391.87로 전일에 비해 50.41 포인트, 0.35% 떨어졌다.월말과 분기 말이 겹치면서 기관 투자가가 매수를 자제하고 있으며 국제유가 하락으로 석유주가 매도 우세를 보이고 있다.드럭스토어주 월그린스 부츠 얼라이언스가 5% 이상 급락하고 있다. 분기 결산에서 매출액 등이 시장 예상을 상회했지만 선행 실적에 대한 불투명감이 매도를 불렀다.최근 상승을 견인한 소비 관련주는 차익실현 매도에 밀리고 있다. 스포츠 용품주 나이키와 영화오락주 월트 디즈니가 약세를 면치 못하고 있다.미국 원유 선물 시세는 일시 배럴당 100달러 정도까지 전일보다 7% 이상 곤두박질쳤다.조 바이든 행정부가 일일 100만 배럴의 전략비축유를 최대 180일 동안에 걸쳐 방출할 방침이라는 소식이 들렸다.에너지 수급핍박 관측이 완화하면서 석유 메이저주 셰브런 등이 하락하고 있다."
"뉴욕증시, 인플레 우려·유가 주시하며 하락 출발",2022-03-31 23:07,연합뉴스,"(뉴욕=연합뉴스) 윤영숙 연합인포맥스 특파원 = 뉴욕증시는 인플레이션에 대한 우려가 지속되는 가운데 유가가 하락했다는 소식에도 약세를 보였다.31일(미 동부시간) 오전 9시 46분 현재 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 121.36포인트(0.34%) 하락한 35,107.45를 나타냈다.스탠더드앤드푸어스(S&P)500지수는 전장보다 14.35포인트(0.31%) 떨어진 4,588.10을, 기술주 중심의 나스닥 지수는 전장보다 78.63포인트(0.54%) 밀린 14,363.65를 기록했다.투자자들은 물가 지표와 유가 하락세, 지정학적 긴장 등을 주목했다.연준이 선호하는 물가 지표인 근원 개인소비지출(PCE) 가격지수가 40년여 만의 최고 수준을 유지했다는 소식에 인플레이션 우려는 지속됐다.상무부가 발표한 2월 근원 PCE 가격 지수는 지난해 같은 기간보다 5.4% 상승해 전달 기록한 5.2% 상승보다 높아졌다.이날 수치는 1983년 4월(5.5%) 이후 약 40년 만에 가장 높은 수치다. 다만 월스트리트저널이 집계한 시장의 예상치인 5.5%보다는 소폭 낮았다.변동성이 큰 음식과 에너지를 포함한 2월 PCE 가격 지수는 지난해 같은 기간보다 6.4% 상승해 전달 기록한 6.0% 상승을 웃돌았으며, 1982년 1월 이후 최고치를 경신했다.유가는 미국이 전략비축유 추가 방출을 검토하고 있다는 소식에 4%가량 하락했다.앞서 외신은 바이든 행정부가 하루 100만 배럴씩 몇 개월에 걸쳐 비축유를 방출하는 방안을 검토하고 있으며 총방출량은 최대 1억8천만 배럴에 이를 것이라고 보도했다.석유수출국기구(OPEC)와 러시아 등 비(非)OPEC 주요 산유국들의 협의체인 'OPEC 플러스'(OPEC+)는 5월에 원유를 하루 43만2천 배럴 증산하기로 합의했다.OPEC+ 증산량은 하루 40만 배럴씩 증산해오던 기존 수준에서 소폭 늘어난 것이지만 유가 흐름에는 별다른 영향을 주지 않을 전망이다. OPEC+는 미국 등 서방의 증산 규모 확대 압박에도 증산 규모에 큰 변화를 주지 않은 셈이다.러시아와 우크라이나 대표단 간 평화 협상은 오는 1일 온라인 형식으로 재개될 것으로 알려졌으나, 양측의 협상이 결실을 볼 수 있을지는 좀 더 지켜봐야 할 것으로 보인다.우크라이나 집권당 대표인 다비드 하라하미야는 소셜미디어를 통해 ""평화 협상이 금요일(다음 달 1일) 온라인 형식으로 재개될 것""이라고 말했다.러시아와 우크라이나 간 회담을 중재하고 있는 터키도 1~2주 안에 양국 외무 장관 간 회담이 열릴 것이라고 밝혔으며, 터키는 러시아가 약속대로 일부 지역에서 군인들을 재배치하지 않고 있다고 말했다.그러나 옌스 스톨텐베르그 북대서양조약기구(NATO·나토) 사무총장은 우크라이나에 있는 러시아 병력은 철수가 아니라 재편성되고 있다고 밝혀 회담에 임하는 러시아의 진정성에 대한 의구심도 지속됐다.실업 지표는 예상보다 다소 부진했다.지난 26일로 끝난 한 주간 실업보험 청구자 수는 계절 조정 기준으로 전주보다 1만4천 명 증가한 20만2천 명으로 집계됐다.이는 월스트리트저널(WSJ)이 집계한 전문가 예상치 19만5천 명을 넘은 수준이다. 다만 여전히 20만 명 내외를 기록해 팬데믹 이전보다 낮은 수준을 유지했다.미국 기업들의 3월 감원은 크게 늘었다.챌린저, 그레이 앤 크리스마스(CG&C)가 집계한 바에 따르면 3월 감원 계획은 2만1천387명으로 전월 1만5천245명보다 40.3% 증가했다. 백신 접종 거부, 상점 폐쇄 등이 영향을 미친 것으로 보인다.업종별로 통신, 기술, 헬스 관련주가 하락하고, 부동산, 에너지, 유틸리티 관련주는 소폭 올랐다.약국 체인인 월그린스 부츠 얼라이언스의 주가는 회사가 연간 순익 전망치를 유지하면서 5% 이상 하락했다.소프트웨어 업체 유아이패스의 주가는 회사의 다음 분기 실적 전망치가 시장의 예상치를 밑돌면서 24% 이상 하락했다.뉴욕증시 전문가들은 주가가 한동안 안도 랠리를 보여왔으나 악재가 완전히 해소된 것은 아니라는 점에서 증시 환경은 여전히 어렵다고 지적했다.뉴버거 버만의 에릭 크누첸 멀티자산전략 담당 최고투자책임자(CIO)는 ""대기 자금이 상당했기 때문에 일부 기술적 매수세가 유입되고, 중앙은행의 정책이 다소 명확해진 데다 우크라이나 전쟁을 무시하려는 투자자들로 그동안 주가가 멋진 안도 랠리를 보였다""라고 말했다.그는 ""그러나 투자자들은 여기에서 생각하고, 약간 기다려야 할 것으로 보인다""라며 ""성장이 둔화하고 금리는 오르며, 인플레이션은 여전히 높다. 이는 주식에 여전히 어려운 환경이다""라고 덧붙였다.유럽증시도 일제히 하락했다.독일 DAX지수는 0.85% 하락했고, 영국 FTSE100지수는 0.43% 떨어졌다. 범유럽 지수인 STOXX600지수는 0.52% 하락하고 있다.국제유가는 미국의 전략비축유 방출 검토 소식에 하락했다.5월물 서부텍사스산원유(WTI) 가격은 전장보다 3.3% 하락한 배럴당 104.25달러를, 5월물 브렌트유 가격은 전장 대비 4.24% 떨어진 배럴당 108.64달러를 나타냈다.ysyoon@yna.co.kr"
"전략비축유 방출, 인플레 완화 효과 볼까 [뉴욕증시 나우]",2022-03-31 22:56,한국경제TV,"여기는 미국 동부시간 31일 오전 9시 31분입니다. 이번주에는 국제유가가 말 그대로 널을 뛰고 있습니다. 오늘은 서부텍사스산중질유와 브렌트유 모두 전날보다 5% 넘게 떨어졌는데 이건 미국이 대규모 전략비축유 방출을 검토하고 있다는 소식이 전해진 영향이 큽니다. 바이든 대통령이 오늘 최대 1억8천만 배럴 규모의 원유를 시장에 공급하는 결정을 내릴 수 있다는 거죠. 매일 100만 배럴씩 최대 6개월 동안 시장에 원유를 추가 공급할 수 있다는 보도가 나오기도 했습니다. 아직 동식 발표가 나오지는 않았지만 '최대' 1억 8천만 배럴이라는, 그러니까 실제 비축유 소모는 이보다 더 적을 수 있다는 뉘앙스가 나오고 있는 점도 참고하셔야겠습니다. 에너지부에 따르면 지난 25일 기준으로 미국 정부는 5억 6,800만 배럴의 원유를 비축하고 있습니다.오늘 산유국 연합인 오펙플러스는 회의에서 기존에 계획했던 대로 5월까지 하루 43만 배럴의 증산을 하기로 결정했는데, 이 수준의 증산은 시장이 예상한 대로입니다. 월가 오펙 플러스에는 러시아가 참여하고 있는 데다, 산유국들이 전쟁과 같은 정치적 이슈로는 공급량을 더 늘리지는 않겠다고 밝힌 바가 있기 때문입니다. 로이터에 따르면 오늘 오펙플러스 회의는 13분만에, 속전속결 식으로 끝났습니다.산유국 연합은 예상대로 움직였지만 미국이 나서면서 시장에 원유 공급 문제가 완화될지가 살펴볼 부분이겠습니다. 유가는 여러 물가에 영향을 끼치는 요인인데요. 미국의 2월 개인소비지출, PCE 물가 지수가 발표됐습니다. 미국 연방준비제도가 주목하는 근원 PCE, 그러니까 음식료와 에너지 부분을 제외한 물가지수는 일년 새 5.4% 상승했습니다. 지난 1983년 이후 최대고요. 함께 살펴볼 것 가운데 하나는 미국의 개인 소득은 예상했던 수준인데 지출이 예상보다 줄어들고 있다는 겁니다.지난주에 미국의 내구재 주문 건수가 줄어들고 있다는 말씀을 드린 적 있죠. 큰 돈 나가는 일에 미국인들이 점점 지갑을 닫는 것이 아닌가 생각해볼 필요가 있다고 했었는데, 오늘 발표된 자료 보면 미국 2월 개인 지출 증가율이 예상치인 전월대비 0.5%보다 낮은 0.2%로 나타났습니다. 미국 경제는 기업들의 실적, 그리고 기업을 떠받치는 미국인들의 소비가 지탱해왔었는데 이 공식의 한 축에 점점 부정적 신호가 잡히고 있는 모습입니다.미국의 소비 동력이 약해지고 있다고 볼 수 있는 데이터들이 나오는 가운데에도 고용 지표는 변함없이 안정세를 지속하고 있는 건 한편으로 실물경제에 다행스러운 부분입니다. 오늘 발표된 주간 신규수당청구건수는 20만2천 건으로 나타났습니다. 시장 예상치보다는 조금 높지만, 여전히 코로나 시대 이전 수준을 유지하고 있다고 보시면 되겠습니다."
"구글 웨이모, 美샌프란시스코에서 완전 자율주행 택시 운행 개시",2022-03-31 22:41,한국경제TV,"구글의 자율주행 계열사인 웨이모가 미국 샌프란시스코에서 직원들에게 완전 자율주행 택시 서비스를 시작했다.웨이모는 지난 30일 블로그 게시물을 통해 ""오늘 아침 샌프란시스코에서 운전대에 사람이 없는 완전 자율 전기 재규어 I-PACE가 웨이모 엔지니어를 태워 모닝 커피를 마시고 일하러 갔다""고 밝혔다.또한 현재 이 서비스는 웨이모 직원만을 위한 것이지만 궁극적으로 대중에게 완전한 무인 승차를 제공하기를 희망한다고 덧붙였다.아울러 웨이모는 조만간 애리조나주 피닉스 시내에서도 직원들을 대상으로 완전 자율주행 서비스를 시작할 예정이다."
"시티랩스, 내부회계관리제도 검토의견 '비적정'",2022-03-31 22:30,이데일리,[이데일리 김겨레 기자] 시티랩스(139050)는 앞서 제출한 감사보고서의 내부회계관리제도 검토의견이 ‘비적정’에 해당된다고 31일 정정공시했다. 다만 감사의견은 ‘적정’을 받았다.
"인텔, 최적화 소프트웨어 회사 그래뉼래이트 클라우드 인수",2022-03-31 22:20,한국경제TV,인텔이 이스라엘에 기반을 둔 최적화 소프트웨어 회사 그래뉼래이트 클라우드 솔루션즈(Granulate Cloud Solutions) 를 비공개 금액에 인수한다.31일(현지시간) 마켓워치에 따르면 인텔은 이번 거래를 통해 클라우드 및 데이터 센터 고객이 컴퓨팅 워크로드 성능을 극대화하고 인프라와 클라우드 비용을 줄이는 데 도움이 될 것이라고 설명했다.이 거래는 올해 2분기에 완료될 것으로 예상되며 그래뉼래이트의 약 120명의 직원이 인텔의 데이터 센터 및 AI 사업부에 합류하게 된다.
"노바백스, 유럽서 12~17세 청소년용 코로나 백신 확대 승인 요청",2022-03-31 21:51,한국경제TV,"노바백스는 31일(현지시간) EU에 12세에서 17세 사이의 청소년을 위한 COVID-19 백신에 대한 확대 승인 요청을 제출했다고 밝혔다.스탠리 어크 최고경영자(CEO)는 성명을 통해 “특히 소아 인구에서 예방접종률을 개선할 필요성을 인식하고 있다”고 말했다.제출 자료에는 미국 내 73개 지역에 걸쳐 2,247명의 청소년을 대상으로 한 3상 시험에서 얻은 데이터가 포함돼 있으며, 해당 연구에서는 델타 변이가 여전히 우세한 기간동안 백신이 전반적으로 80%의 효능을 나타냈다는 것을 보여주고 있다."
"바클레이즈, AMD 투자의견 '중립'으로 하향…목표가 115달러",2022-03-31 21:44,한국경제TV,"바클레이즈가 AMD의 주가에 대해 부정적인 전망을 내놨다.31일(현지시간) CNBC에 따르면 바클레이즈는 AMD의 투자등급을 비중확대에서 중립으로 낮추고 목표가를 148달러에서 115달러로 하향했다.분석가인 커티스는 내년 PC와 게임을 포함한 여러 시장에 걸친 순환적 위험을 지적했다.커티스는 ""(코로나19에 따른)재택근무 추세와 유행성 폐쇄로 인한 게임·PC 시장에 대한 위험을 보고 있다""며 ""1인당·가구당 PC 수가 증가해야 한다는 주장을 이해하지만 추세가 이러한 수준에서 시장을 유지하기에 충분하지 않다""고 분석했다.바클레이즈는 올해와 내년 AMD의 주당 순이익을 기존 4.1달러와 4.75달러에서 4.02달러, 4.53달러로 낮췄다."
"편의점서 중고거래, 폐 립스틱으로 만든 크레용…ESG경영 뿌리내린 유통가",2022-03-31 21:38,서울경제,"세븐일레븐, 중고나라와 MOU비대면 중고거래 픽업 서비스현대百 ESG전용 온라인관 선봬신세계인터, 재활용크레용 기부[서울경제]재화를 구매하면서 환경과 인권, 동물 보호 등을 연결짓는 ‘가치 소비’가 확산하면서 유통·패션업계의 ‘환경·사회·지배구조(ESG)’ 경영도 점차 뿌리를 내려가고 있다. 보여주기 식의 캠페인에서 벗어나 친환경 제품을 판매하거나 중고 거래 활성화를 유도하는 등 사회의 요구에 적극적으로 발을 맞추며 대응하는 모습이다.세븐일레븐은 31일 국내 최대 중고거래 플랫폼 중고나라와 ‘자원 선순환 및 개인 간 안전거래를 위한 업무협약(MOU)’을 체결했다. 이번 협약으로 세븐일레븐은 전국 1만1000여개 점포에서 ‘중고나라 비대면 직거래 픽업 서비스’를 추진한다. 이 서비스는 판매자와 구매자가 사전에 약속을 정한 뒤 판매자가 세븐일레븐 점포에 상품을 위탁하면 구매자가 정해진 시간에 상품을 픽업하는 방식이다. 유통기한 임박 상품을 중고나라의 별도 코너에서 판매해 자원 낭비 방지에도 나선다는 계획이다.현대백화점(069960)은 지속가능한 소비를 목표로 ESG 전문관을 선보였다. 공식 온라인몰 ‘더현대닷컴’에 오픈한 ‘리.그린(Re.Green)’관은 리사이클 원단을 사용하거나 동물 실험을 진행하지 않은 동물복지 실현 제품, 국내외 비건협회로부터 인증받은 상품, 판매 수익금 일부를 사회 발전을 위해 기부하는 기업 등 ESG 테마로 분류된 2000여 개의 상품을 선보인다.현대백화점 관계자는 “온라인 커머스에서도 가치 소비 트렌드가 전면에 부상하며 친환경 제품과 공정한 생산 과정을 거친 상품을 찾는 고객이 크게 늘고 있다”며 “이런 흐름에 발 빠르게 대응하면서 다양한 브랜드의 판로 확대도 지원하겠다”고 말했다.신세계인터내셔날이 유통기한이 임박한 폐 립스틱을 재활용해 만든 크레용/사진=신세계인터내셔날이 밖에도 코오롱FnC가 자사 패션 브랜드를 취급하는 온라인 중고 마켓 서비스를 시범 운영하며 친환경 소비 확산에 동참하고, 신세계인터내셔널도 기한 다 한 폐 립스틱으로 크레용을 만들어 학용품이 필요한 어린이들에게 기부하는 등 적극적인 행보에 나섰다."
"기술주 아닌데 5년간 애플보다 더 오른 종목…또 10% 급등, 살까[오미주]",2022-03-31 21:25,머니투데이,"[편집자주] '오미주'는 '오늘 주목되는 미국 주식'의 줄인 말입니다. 주가에 영향을 미칠 만한 이벤트가 있었거나 애널리스트들의 언급이 많았던 주식을 뉴욕 증시 개장 전에 소개합니다.룰루레몬 뉴욕 매장 /AFPBBNews=뉴스1레깅스를 비롯한 스포츠웨어 회사인 룰루레몬이 30일(현지시간) 9.58% 급등한 376.92달러로 마감했다.전날 장 마감 후 분기 실적을 발표하면서 제시한 올해 전망이 애널리스트들의 기대를 크게 웃돌았기 때문이다.그렇다면 룰루레몬은 주가가 이미 많이 오른 지금이라도 살 만한 가치가 있을까.룰루레몬은 지난 1월말까지 회계연도 4분기 매출액이 21억3000만달러로 전년 동기 17억3000만달러에 비해 25% 증가했다고 밝혔다.지난해 4분기에 전체 매장 수는 574개로 22개 늘어났다.지난해 4분기 조정 EPS(주당순이익)는 3.37달러로 1년 전 2.58달러에 비해 늘어났고 애널리스트들의 전망치 3.27달러도 웃돌았다.오는 4월말까지 1분기 EPS는 1.38~1.43달러, 매출액은 15억2500만~15억5000만달러를 예상했다. 이는 시장 컨센서스인 1.28달러의 EPS와 14억1000만달러의 매출액을 크게 뛰어넘는 것이다.룰루레몬은 아울러 올해 자사주를 10억달러어치 매입할 계획이라고 밝혔다. 기대를 뛰어넘는 실적 제시와 대규모 자사주 매입 계획에 따라 룰루레몬 주가는 30일에 10% 가까이 상승했다.도이치뱅크의 애널리스트인 가브리엘라 카본은 이날 보고서를 통해 투자자들은 변동성이 큰 거시환경이 좀더 분명한 방향성을 나타날 때까지 높은 밸류에이션에 주춤하며 룰루레몬 매수에 나서지 못할 것으로 예상했다.그러나 ""룰루레몬은 지속적으로 견고한 매출액 성장세를 보일 것""이라며 혁신적인 상품(핵심 성장동력), 남성 의류와 신발 등으로 카테고리 확대, 글로벌 시장에서의 성장 잠재력(룰루레몬은 글로벌 시장에서 여전히 경쟁업체에 비해 뒤처진 상태), 매장 확장 등을 이유로 꼽았다.카본은 ""궁극적으로 우리는 룰루레몬의 장기 실적 알고리즘이 매력적이라는 사실을 확인할 것이고 오는 4월20일 룰루레몬의 정기 주주총회 후 투자자 간담회에서 장기 성장 목표와 이익률 확대 기회에 대해 구체적인 내용을 확인할 수 있을 것으로 기대한다""고 밝혔다.그는 내년까지 룰루레몬의 5년간 EPS 연평균 성장률이 23%라고 설명했다.이에 따라 카본은 룰루레몬에 '매수' 의견을 유지하고 12개월 목표주가를 410달러에서 428달러로 상향 조정했다.이는 이날 종가 대비 13.55% 더 높은 수준이다.팁랭크에 따르면 룰루레몬에 대한 투자의견은 '매수'가 16명, '보유'가 7명, '매도'가 1명이다. 목표주가 평균은 420.78달러로 이날 종가 대비 11.64% 더 높다.투자 전문 매체인 모툴리 풀은 지난 25일 룰루레몬이 같은 스포츠웨어 회사인 나이키와 비교해 한 가지 확실한 경쟁우위를 확보하고 있다고 분석했다.고객에 대한 온라인 직접판매 비율이 높다는 점이다. 룰루레몬은 전체 매출액의 40%가 홈페이지와 앱 등 온라인을 통한 직접판매다. 반면 나이키는 온라인 판매 비중이 26%다.이 결과 룰루레몬은 영업이익률이 21.3%로 나이키(15.8%)보다 높다,룰루레몬은 오프라인 매장도 모두 직영으로 운영하며 재고를 철저히 관리한다. 이 결과 재고가 쌓여 실시하는 할인 행사를 1년에 2회 이내로 제한한다. 할인 행사는 이익률을 떨어뜨리고 장기적으로 브랜드 이미지를 훼손시킨다.문제는 룰루레몬이 제시한 올해 EPS 전망치 상단인 9.35달러를 기준으로 해도 선행 PER(주가수익비율)이 40.31배로 높다는 점이다.PER을 EPS 성장률로 나눈 PEG도 2.08배로 높은 수준이다.애플의 선행 PER이 28.86배, PEG가 2.31배란 점을 감안할 때 한 종목만 고르라면 고민이 되지 않을 수 없다.한편, 룰루레몬은 지난 5년간 주가가 애플보다 더 많이 올랐다. 룰루레몬은 지난 5년간 주가가 51.87달러에서 376.92달러로 7.27배 오른 반면 애플은 35.91달러에서 177.77달러로 5배가량 상승했다."
