제목,시간,언론사,본문
"뉴욕증시, 우크라 상황 주시 속에 혼조세로 출발",2022-03-30 23:26,연합뉴스,"(뉴욕=연합뉴스) 윤영숙 연합인포맥스 특파원 = 뉴욕증시는 러시아와 우크라이나 간의 협상을 주시하며 혼조세를 보였다.30일(미 동부시간) 오전 10시 11분 현재 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 19.60포인트(0.06%) 오른 35,313.79를 나타냈다.스탠더드앤드푸어스(S&P)500지수는 전장보다 9.56포인트(0.21%) 하락한 4,622.04를, 기술주 중심의 나스닥 지수는 전장보다 53.01포인트(0.36%) 떨어진 14,566.63을 기록했다.투자자들은 러시아와 우크라이나를 둘러싼 긴장과 국채금리 움직임, 민간 고용 지표 등을 주목했다.러시아와 우크라이나 간의 회담이 긍정적이었다는 평가에도 아직 돌파구가 보이지 않는다는 러시아 측 발언이 나오면서 아직 상황을 지켜봐야 한다는 분위기가 형성됐다.러시아 정부는 우크라이나와의 회담과 관련, 우크라이나가 구체적인 제안서를 작성해 서면으로 제출하기 시작한 것에 대해 긍정적으로 보면서도 그렇다고 해서 돌파구가 보이는 건 아니라고 말했다.우크라이나에 대한 러시아의 군사 공격은 이날까지 계속되고 있다.미국 국채금리 역전에도 투자자들은 관심을 기울이고 있다.전날 10년물 국채금리가 2년물 국채금리 밑으로 떨어지면서 금리 역전에 따른 경기 침체 우려가 커졌다.이날은 10년물 금리가 2.41%에서 거래되고 2년물 국채금리는 소폭 하락해 2.36%에서 거래되고 있다.통상 금리가 역전된 후 경기침체까지는 수개월이 걸리거나 혹은 경기침체로 가지 않은 때도 있어 주식시장은 크게 긴장하지 않은 모습이다.이날 발표된 민간 고용은 예상치를 웃도는 증가세를 보였다.ADP 전미 고용 보고서에 따르면 3월 민간 부문 고용은 전월보다 45만5천 명 증가했다.이는 전월 기록한 48만6천 명보다는 줄었으나 월스트리트저널(WSJ)이 집계한 전문가 예상치인 45만 명을 넘어선 것이다.미국의 지난해 4분기 국내총생산(GDP)은 전기 대비 연율 6.9% 증가한 것으로 확정됐다. 이는 잠정치인 7.0% 증가에서 소폭 하향 조정된 것이다.S&P500지수 중에 에너지, 산업, 헬스 관련주가 오르고, 부동산, 임의소비재, 필수소비재, 기술 관련주는 하락했다.프록터앤드갬블(P&G)의 주가는 JP모건이 투자의견을 비중 확대에서 중립으로 내렸다는 소식에 1% 이상 하락했다.룰루레몬 애슬레티카의 주가는 예상치를 웃돈 실적 발표에 8% 이상 올랐다.전날까지 11거래일 연속 오른 애플의 주가는 이날도 0.3% 상승 중이다.뉴욕증시 전문가들은 연방준비제도(연준·Fed)의 긴축 우려에도 경제지표가 강한 모습을 유지하면서 상승세가 이어질 것으로 기대했다.다만 러시아와 우크라이나의 상황은 당분간 시장에 변동성을 키울 것으로 예상했다.아바트레이드의 나임 아슬람 수석 시장 애널리스트는 보고서에서 ""강한 지표는 연준의 통화정책 긴축을 더 수월하게 받아들일 수 있게 해준다는 점에서 위험선호 랠리를 촉발할 것 같다""라고 말했다.하그리브즈 랜즈다운의 수잔나 스트리터 선임 시장 애널리스트는 월스트리트저널에 ""전날 회담에 돌파구가 있을 수 있다는 전망에 기대가 약간 커졌으나 그 기대가 사라졌다""라며 ""시장이 상당한 변동성을 계속 보일 것""이라고 말했다.유럽증시도 혼조세를 보였다.독일 DAX지수는 1.54% 하락했고, 영국 FTSE100지수는 0.22% 올랐다. 범유럽 지수인 STOXX600지수는 0.59% 하락하고 있다.국제유가는 상승했다.5월물 서부텍사스산원유(WTI) 가격은 전장보다 4.1% 오른 배럴당 108.57달러를, 5월물 브렌트유 가격은 전장 대비 3.74% 상승한 배럴당 114.35달러를 나타냈다.ysyoon@yna.co.kr"
"젤렌스키 ""러, 군사 규모 오히려 증가""···대마 합법화 이슈도 주목 [뉴욕증시 나우]",2022-03-30 22:59,한국경제TV,"여기는 미국 동부시간 30일 오전 9시 31분입니다. 3대 지수 선물부터 하락세였죠. 오늘 시장을 움직일 수 있는 지표와 요인들 보자면 우선 국제유가가 다시 오르고 있습니다. 키이우 인근 군사작전을 줄일 것이라는 러시아의 발표에 볼로디미르 젤렌스키 우크라이나 대통령이 ""러시아가 군사 규모를 오히려 더 늘리고 있다""며 반박했고 미국 정부 역시 ""러시아의 말과 달리 공격이 줄고 있다는 신호가 나오지 않고 있다""며 회의적인 반응을 보였다는 점, 그리고 산유국 연합체인 OPEC이 석유 가격 안정을 위해 생산을 더 많이 늘리지는 않을 것이라고 밝힌 점은 앞으로의 유가 전망에 함께 참고할 부분이 되겠습니다.압둘아지즈 빈 살만 사우디 에너지 장관은 ""산유국이 정치적으로 생산에 관여해서는 안 된다""며 러시아 침공과 관련한 원유 생산을 늘리는 데에는 부정적이라고 말했었죠. 서부텍사스산중질유 WTI는 전날보다 2.6% 오르며 배럴당 107달러 선에서 움직이고 있습니다.식품의약국 FDA가 추가 부스터샷 접종을 승인한 것도 살펴볼 부분입니다. 스텔스 오미크론으로 불리는 오미크론의 하위 변종이 기존 바이러스보가 전파력이 높고, 미국 내에서 우세종이 됐다는 결과 이후 나온 조치입니다. 아직 미국에서 코로나 신규 확진자가 다시 증가하는 추세는 아니지만, 우세종이 바뀌면서 생길 수 있는 여러 변수를 막기 위해 당국이 나서고 있다는 건 시사하는 바가 있어 보입니다. 프리마켓에서 바이오엔텍과 모더나 등 백신주들이 상승하는 흐름도 나왔고요.3월 미국의 민간 부문 고용이 예상보다 조금 더 증가했음을 보여주는 지표도 발표됐습니다. ADP의 데이터에 따르면 이번 달 비농업 부문 고용은 45만5천 건 증가했습니다. 그동안의 고용지표가 계속해서 좋았기 때문에, 오늘 나온 데이터는 여전히 미국의 고용이 탄탄하다는 정도로 참고하시면 되겠습니다.오늘 장 초반 주목할만한 움직임을 보이는 종목들도 살펴볼까요. 오늘 S&P 500 종목 가운데 프리마켓에서 거래량이 가장 많은 종목은 메모리반도체 제조업체인 마이크론입니다. 예상보다 좋은 실적 발표 이후 어제에 이어 주가가 2.5% 가까이 오르고 있고요. 엑손모빌과 옥시덴탈과 같은 정유주도 개장 전 거래에서 주가가 오름세를 보이고 있습니다. 유가와 연동한 움직임이죠.이들 종목과 백신주 정도를 제외하면 오늘 개장 전 거래에서 주요 기업들은 대체로 하락세입니다. 테슬라의 주가는 프리장에서 주가가 0.9% 빠졌고 전기차 업체인 루시드 그룹도 0.8% 주가가 하락했습니다.또 조금 뒤 미국 하원에서는 마리화나를 연방 차원에서 합법화하는 문제를 두고 청문회가 열리는데요. 청문회의 분위기에 따라 선다이얼 그로워스나 틸레이와 같은 마리화나 관련주들이 장중에 출렁일 가능성이 있다는 점도 참고할 부분입니다."
"씨티그룹, 인도 소비자 금융 부문 액시스은행에 매각",2022-03-30 22:46,한국경제TV,"아시아 태평양 지역에서의 사업 재편을 진행중인 씨티그룹이 인도 소비자 금융 부문을 액시스은행(Axis Bank)에 매각하기로 합의했다.이번 매각과 관련된 사업에는 신용 카드, 소매 은행, 자산 관리 및 소비자 대출이 포함된다.인도 민간 대출 기관인 액시스은행은 신용카드 사업을 강화하기 위해 이번 인수를 결정했다고 밝혔다.매각의 일환으로 3,600명의 씨티그룹 직원이 뭄바이에 위치한 액시스은행으로 이직할 예정이다.거래는 총 16억 달러 규모로 내년 상반기에 완료될 것으로 예상된다."
"JP모간, P&G 투자의견 '중립'으로 하향…물가상승·우크라 전쟁 부담",2022-03-30 22:25,한국경제TV,JP모간이 프록터 앤 갬블(P&G)의 투자의견을 낮췄다.30일(현지시간) CNBC에 따르면 JP모간의 안드레아 테이제이라 애널리스트는 물가상승과 우크라이나 전쟁이 매출에 미칠 영향을 반영해 P&G의 투자의견을 비중확대에서 중립으로 하향하고 목표주가를 181달러에서 165달러로 내렸다.새로운 목표주가는 화요일 종가보다 6% 높은 수준이다.분석가들은 P&G에 대해 낙관적인 평가를 내리면서도 원자재 가격 상승의 압력과 덜 유리한 환율이 올해 총 마진에 점진적인 부담을 줄 것이라고 분석하고 있다.JP모간은 2022회계연도 주당 순이익 전망치도 컨센서스 추정치보다 낮은 5.93달러에서 5.84달러로 낮췄다.
"이창용 한은 총재 후보 ""우려했던 리스크 현실...국내 영향 살펴볼 것""",2022-03-30 22:05,한국일보,"미국 통화정책·우크라 사태·코로나 리스크 ""세계 경제 빠르게 변하는데 중책 맡아""내달 1일부터 청문회TF 사무실로 출근미국 워싱턴 국제통화기금(IMF) 아시아·태평양 담당 국장 이창용 한은 총재 후보자가 30일 오후 인천국제공항 제2터미널 입국장에서 기자들의 질문을 받고 있다. 영종도=최주연 기자이창용 한국은행 총재 후보자가 “한은 총재 후보로 지명돼 무한한 영광이지만 마음이 무겁기도 하다”고 지명 소감을 30일 밝혔다. 전 세계 경제 여건이 굉장히 빠르게 변하는 상황에서 중책을 맡은 만큼 막중한 책임감이 느껴졌기 때문이다.이 후보자는 이날 오후 인천공항을 통해 귀국한 뒤 취재진과 만나 “얼마 전 IMF(국제통화기금)가 낸 보고서를 보면 다운사이드리스크(하방위험)로 미국 통화정책의 정상화 속도, 우크라이나 사태, 코로나19로 인한 슬로우다운(경기둔화) 등 세 가지를 제기했는데, 세 가지가 다 실현됐다""며 “이 같은 리스크(위험)가 국내 경제에 어떤 영향을 주고 있는지 살펴보겠다”고 말했다.이 후보자는 통화 정책방향을 묻는 질문에 “(하방리스크 언급된) 보고서가 1월에 작성된 것인데, IMF 팀 안에서 (위험이 실현됐으니) 이제 어떻게 바꿔야 하는 것인지 이야기하는 도중에 (한국으로) 왔다”며 “(통화정책 방향은) 아직 한은 임직원과 얘기한 적 없고, 금융통화위원들이 어떤 생각을 갖고 있는지도 얘기를 해봐야 알 수 있을 것 같다""고 답했다.이 후보자는 또한 “지난 2월 한은의 결정도 우크라이나 사태가 전면전으로 확대하지 않을 것이라는 가정 아래 이뤄진 것이기 때문에 이런 새로운 변화가 국내 경제에 어떤 영향을 주고 있는지는 금융통화위원님들과 한은 전문가들과 얘기해야 할 것”이라고 설명했다. 한은 금융통화위원회는 지난달 열린 통화정책방향 회의에서 기준금리를 연 1.25%로 동결한 바 있다.한은 총재로 지명된 이 후보자는 “지금 전 세계 경제 여건이 굉장히 빠르게 변하고 있는 상황에서 중책을 맡을 가능성이 있다”며 “청문회를 통해 이 중책에 적임한지 검증 받겠다”고 말했다.이 후보자는 다음달 1일부터 서울 중구 삼성본관빌딩 인근 부영태평빌딩에 마련된 한은 총재 후보자 국회 인사청문회 태스크포스(TF) 사무실로 출근할 예정이다."
"바이오젠, FDA에 알츠하이머 치료제 4상 임상연구계획서 제출",2022-03-30 22:01,한국경제TV,"바이오젠은 30일(현지시간) FDA에 알츠하이머병 치료제인 애드유헬름(Aduhelm)에 대한 확인 임상 시험을 위한 임상연구계획서 제출했다고 밝혔다.규제당국은 1년 전 확증적 시험을 실시한다는 조건으로 애드유헬름을 승인했다.바이오젠 관계자는 4년 내에 위약 대조 임상 4상 연구를 완료할 것으로 예상한다고 말했다.이 연구는 1,500명의 환자를 대상으로 진행될 예정이다."
"큐어백, 차세대 코로나19 백신 임상 1상 시작",2022-03-30 21:55,한국경제TV,"큐어백이 GSK와 함께 개발 중인 새로운 mRNA 코로나19 백신에 대한 임상 1상을 시작했다.이 연구는 미국에서 진행되며 성인 210명을 대상으로 할 예정이다.큐어백은 올해 하반기에 임상시험 데이터가 나올 것으로 예상한다고 밝혔다.큐어백의 최고 개발 책임자인 클라우스 에드바르센(Klaus Edvardsen) 박사는 보도 자료를 통해 ""mRNA 기반 백신 개발의 지속적인 혁신과 진보는 진화하는 코로나19 대유행을 퇴치하기 위한 중요한 전제 조건""이라고 말했다."
"'먹튀' 의혹 부각된 에디슨EV, 상폐 위기까지 '겹겹'",2022-03-30 21:49,이데일리,"거래소, 쌍용차 인수 무산 이후 부정거래 심층 조사감사의견 거절에 매매거래 정지…형식적 상폐 가능성4월11일까지 의견서 제출 여부, 상폐 사유 관건[이데일리 이은정 기자] 에디슨모터스가 쌍용차 인수 대금 마련을 위해 인수했던 코스닥 상장사 에디슨EV(136510)가 감사보고서 ‘의견 거절’로 상장폐지 기로에 놓이면서 주주들의 우려가 극에 달하고 있다. 금융당국은 에디슨EV 대주주 주식 처분 관련 불공정거래 여부를 예의주시하고 있다.쌍용자동차 평택공장 전경. (사진=연합뉴스)30일 금융감독원 전자공시시스템에 따르면 한국거래소 코스닥시장본부는 이날 에디슨EV에 대해 전일(29일) 감사보고서 제출 공시에서 감사의견이 ‘계속기업 존속능력에 대한 불확실성으로 인한 의견거절’로 상장폐지 사유에 해당한다고 밝혔다.에디슨EV는 전일 거래소의 감사의견 비적정설에 대한 조회공시 요구에 따라 매매거래가 정지됐고, 이날 감사의견 거절에 따라 정지가 유지됐다. 다만 감사의견 사유가 ‘계속기업 존속 능력에 대한 불확실성’일 경우 해당 사유 관련 의견서를 제출해 상장폐지 사유를 해소할 수 있다.에디슨EV의 감사의견서 제출기한은 10영업일 이내인 4월11일까지다. 감사의견서를 제출하지 않을 경우 형식적 상장폐지 사유에 해당된다. 의견서를 제출하더라도 차게 재무제표에 대한 감사의견이 부적정, 의견거절 등을 받으면 상장폐지 사유에 해당된다.감사를 맡은 삼화회계법인은 보고서를 통해 에디슨EV가 △당기말 현재 유동자산 523억6100만원, 유동부채 647억7400만원으로 유동부채가 유동자산을 초과하는 점 △당기 중 영업손실 4억3300만원, 당기순손실 85억2000만원이 발생한 것을 짚었다.삼화회계법인 측은 의견거절에 대해 “회사의 매출 증대 등을 통한 재무개선 및 유동성 확보 계획에 대한 충분하고 적합한 감사증거를 입수할 수 없었다”며 “이러한 불확실성의 최종 결과로 발생될 수도 있는 자산과 부채 및 관련 손익 항목에 대한 수정을 위해 이를 합리적으로 추정할 수 있는 감사증거를 확보할 수 없었다”고 전했다.이에 당장 감사의견서 제출 여부가 에디슨EV 거래정지 장기화 여부에 영향을 미칠 전망이다. 금융업계 관계자는 “회사가 의견 거절에 따른 의견서 제출을 통해 상장폐지 사유를 해소하지 못할 경우 회사는 이의신청을 할 수 있다”며 “이 경우 내년 감사보고서가 나올 때까지 매매거래가 정지된다”고 말했다.에디슨EV의 불공정거래 여부도 재차 도마 위에 올랐다. 금융투자업계에 따르면, 거래소는 쌍용차 인수 무산 이후 에디슨EV 대주주 주식 처분 관련해 불공정거래 행위 여부를 심층 분석하고 있다. 거래소는 지난 1월에도 에디슨EV의 주가 이상흐름 등을 이유로 불공정거래 해당 여부를 주시하고 있다고 밝혔다.거래소가 불공정거래 혐의가 있다고 판단하면 금융당국에 이를 통보하게 되고, 이후 절차를 거쳐 최종적으로 혐의사실이 밝혀지면 행위자들은 형사처벌을 받게 된다.앞서 에디슨EV는 지난해 쌍용차 인수설에 주가가 단기간에 폭등했지만, 이 과정에서 대주주 투자조합의 주식 처분이 이어지며 ‘먹튀’ 논란이 불거진 바 있다. 이후 인수가 무산되면서 부정거래 의혹이 부각되고 있다.쌍용차는 지난 28일 오전 에디슨모터스 컨소시엄이 투자 계약에서 정한 인수대금 예치시한인 지난 25일까지 잔여 인수대금 예치의무를 이행하지 못함에 따라 인수인과 인수합병(M&A)을 위한 투자계약이 해제됐다고 밝혔다. 당일 회사 주가는 하루 새 가격제한폭까지 급락했다.금융업계 관계자는 “에디슨EV의 불공정거래 여부는 거래소 분석 이후의 절차들까지 감안, 최종적으로 사실이 확인돼 시장에 알려지기까지 한두 달내로 끝나긴 쉽지 않아보인다”며 “당장은 내달 감사의견 거절 관련 의견서 제출 여부가 상폐 심사, 거래정지 장기화 등으로 이어질 수 있는 점이 리스크”라고 전했다."
"리비안, 하루에 17% 폭등 왜?…루시드도 7% 급등[오미주]",2022-03-30 21:31,머니투데이,"[편집자주] '오미주'는 '오늘 주목되는 미국 주식'의 줄인 말입니다. 주가에 영향을 미칠 만한 이벤트가 있었거나 애널리스트들의 언급이 많았던 주식을 뉴욕 증시 개장 전에 소개합니다.리비안아마존이 최대주주로 있는 전기차업체 리비안 오토모티브가 29일(현지시간) 17% 이상 폭등했다.이날 리비안은 17.18%(7.90달러) 오른 53.88달러로 마감했다.특별한 호재는 없었다. 미즈호증권이 이날 보고서를 통해 리비안이 올 하반기에는 전기차 생산을 늘릴 수 있을 것으로 기대한다며 '매수' 의견을 유지했지만 목표주가는 오히려 100달러에서 95달러로 낮췄다,리비안이 상승한 것은 주요 빅테크 기업들이 지난 14일 바닥을 찍고 급등세를 보임에 따라 투자자들이 저가 매수에 나섰기 때문으로 보인다.테슬라가 지난 14일부터 전날까지 40% 이상 급등하는 등 기술주가 질주하고 있는 가운데 리비안도 지난 14일 35.83달러로 바닥을 찍고 전날까지 28.33% 급등했으나 투자자들은 상대적으로 덜 올랐다고 판단한 것으로 추정된다.리비안은 이날 단 하루만에 17% 이상 뛰어오르며 지난 14일 바닥 대비 주가 상승률이 50.38%로 확대됐다.중국 전기차업체 니오도 이날 3.16% 상승했다. 니오는 지난 14일 14.10달러부터 이날 21.88달러까지 55.18% 폭등했다.이날 고급 전기차를 생산하며 테슬라의 대항마로 주목받아온 루시드그룹 역시 7.8% 급등했다. 하지만 루시드는 지난 14일부터 이날까지 26.96% 올라 상승률이 리비안과 니오의 절반 수준에 불과하다.다만 올들어 주가 하락률은 루시드가 28.09%로 가장 낮고 니오가 30.93%, 리비안이 48.04% 순이다. 이날 리비안의 폭등은 주가 낙폭이 상대적으로 심했다는 판단에 따른 저가 매수세 유입 때문으로 보인다.한편, 이날 포드도 6.48% 급등하고 GM도 4.61% 오르는 등 자동차주가 전반적으로 강세를 보였다.그렇다면 리비안에 대한 투자자들의 베팅은 보답을 받을 수 있을까. 투자 전문 매체 모틀리 풀은 리비안의 R1T 모델이 전세계 최초로 100% 전기로만 주행하는 픽업 트럭이라는 점에 주목했다. 이는 리비안이 전기 픽업 트럭에서 선발주자로서 수혜를 누릴 수 있음을 의미한다.믈론 R1T 가격이 7만9000달러로 싸지 않고 포드가 조만간 F-150 라이트닝이라는 전기차 픽업 트럭을 출시할 것이란 점은 리비안에 부담이다.하지만 테슬라가 전기 승용차 시장의 첫째 주자로서 누려온 성과를 감안한다면 포드와 달리 전적으로 전기 픽업 트럭에만 주력하는 첫째 주자로서 리비안의 장점은 충분하다는 것이 모틀리 풀의 평가다.현재 리비안이 직면한 가장 큰 문제는 다른 전기차업체들과 마찬가지로 원자재와 부품 조달에 어려움이 지속되며 원가 상승 압력을 받고 있다는 점이다. 이 때문에 리비안은 최근 전기차 가격을 인상했다.하지만 리비안은 원자재 및 부품 공급망 문제에도 올해 전기 픽업 트럭을 2만5000대 생산할 수 있을 것으로 예상하고 있다.또 언제 흑자 전환할 수 있을지 요원하지만 지난해 말 기준 184억달러의 현금 상당액을 보유하고 있어 생산 확대에 필요한 설비 투자 여력은 충분하다는 평가다.현재 자동차시장은 큰 전환점에 서 있다. 전통적인 내연기관 자동차업체들이 전기차시장에 뛰어들고 있고 신생 전기차회사들 사이에 경쟁도 치열해지고 있다.다만 리비안은 전기 픽업 트럭이라는 틈새시장을 공략하고 있는 가운데 현금이 넉넉하다는 점으로 인해 장기적으로 성공할 가능성이 높다고 모틀리 풀은 내다봤다. 다만 오랜 기간의 인내는 필요할 것으로 전망된다.한편, 팁랭크에 따르면 리비안에 대한 애널리스트들의 투자의견은 '매수'가 10명, '보유'가 5명이며 목표주가 평균은 76.08달러이다. 이는 이날 종가 대비 41.20% 높은 것이다."
美 장단기 국채금리 역전에 커지는 경기침체 '경고음',2022-03-30 21:01,한국일보,"29일 장중 한때 2년물, 10년물 금리 추월고강도 긴축에 경기 부정적 전망 우세""침체 불가피"" 전망에 ""단정 섣불러"" 반론도29일(현지시간) 미국 뉴욕증권거래소(NYSE)의 트레이더들이 시장 상황을 예의주시하고 있다. 로이터=연합뉴스미국의 대표 단기 국채인 2년물 금리가, 대표 장기 국채인 10년물 금리보다 높아지는 현상이 발생해 향후 경기침체가 일어날 수 있다는 우려가 커지고 있다.최근 5년물 금리가 30년물 금리를 웃돈 적도 있었지만, 장단기 금리의 대표 격인 2년물과 10년물 금리가 뒤집힌 것은 2년 반 만에 처음이라 경기침체 가능성이 농후하다고 전문가들은 분석하고 있다.2년 반 만에 10년물 추월한 2년물 금리29일(현지시간) 외신에 따르면 이날 미국 국채 시장에서 2년물 금리는 오후 장중 한때 연 2.39%선까지 올라 10년물 금리를 추월했다. 2년물 금리가 10년물 금리를 웃돈 건 미·중 무역 갈등이 한가운데 있던 2019년 9월 이후 2년 반 만이다.통상 장단기 금리가 역전되는 현상은 경기침체의 전조(前兆)로 여겨진다. 경기 둔화를 우려한 투자자들이 장기 채권을 매수하면서 장기 국채금리는 떨어지지만, 단기 국채금리는 기준금리 인상에 연동해 오르기 때문이다. 미 연준의 긴축기조는 기준금리 인상을 부추겨 이런 현상을 더 가속화시킬 수 있다.그래픽=강준구 기자실제로 미국의 장단기 금리 역전 이후 시간차를 두고 경제가 침체의 늪으로 빠진 경우가 많았다. JP모건은 최근 ""1970년 이후 가장 최근 7차례의 경기침체에 앞서 2년물과 10년물 간 금리 역전이 발생했다""고 분석했다. 2006∼2007년 2년물과 10년물 국채금리 역전 후 글로벌 금융위기가 발생한 데 이어, 2020년 코로나19 확산 직전인 2019년 하반기에도 역전 현상이 발생했다.메들리 글로벌 어드바이저스의 벤 에몬스 거시전략가는 블룸버그통신에 ""역사적으로 장단기 국채금리 역전 없이 경기침체가 일어난 적은 없었다""고 말했다.""금리 역전만으로 예측 불가"" 신중론도 만만치 않아반면 시장에선 경기침체를 단정 짓기엔 시기상조란 의견도 나온다. 과거 2년물과 10년물 금리 역전 이후 경지침체까지 짧게는 6개월에서 길게는 2, 3년가량의 시간 차가 있었던 데다, 침체로 가기까지 다양한 대내외 변수들이 존재했다는 게 그 이유다.현재의 금리 역전 현상이 일시적일 수도 있다는 반론도 있다. 미 연준이 그동안 막대한 양의 국채를 매입해 장기 국채금리가 떨어진 만큼, 연준의 긴축 행보와 함께 장기 금리가 다시 올라갈 것이라는 분석이다. 더구나 연준이 조만간 보유 국채를 내다파는 '양적 긴축'도 단행할 전망이라, 장단기 국채금리는 다시 벌어질 가능성이 높다.미 연준 안팎에선 경기 변동성의 주기가 짧아진 만큼, 2년물보다 3개월물 금리가 기준이 돼야 한다는 목소리도 감지된다. 앞서 제롬 파월 연준 의장도 ""(2년물보다) 더 짧은 쪽을 보는 경향이 있다""며 경기침체 신중론에 무게를 뒀다. 실제로 최근 3개월물과 10년물 간 금리 차는 5년 여 만에 가장 큰 1.8%포인트 넘게 벌어지고 있다.이날 패트릭 하커 필라델피아 연방준비은행 총재 역시 ""금리 역전이란 한 가지로만 미래를 예측할 수는 없다""며 연준이 금리 인상을 통해 인플레이션을 낮추는 데 우선순위를 둬야 한다는 기존 입장을 재확인했다."
