제목,시간,언론사,본문
장단기 금리차 축소에도 미 증시는 활기 왜?,2022-03-29 23:57,이데일리,우크라이나 사태 진전 소식에 주가 상승세10년물-2년물 금리차 또 줄어…침체 논쟁↑[뉴욕=이데일리 김정남 특파원] 미국 뉴욕 증시의 주요 3대 지수가 29일(현지시간) 장 초반 일제히 강세를 보이고 있다. 연방준비제도(Fed)의 가파른 긴축에 따른 침체 우려가 작지 않음에도 증시는 이례적으로 연일 호조를 보이고 있다.(사진=AFP 제공)29일(현지시간) 마켓포인트에 따르면 이날 오전 10시41분 현재 미국 뉴욕증권거래소에서 블루칩을 모아놓은 다우존스 30 산업평균지수는 전거래일 대비 0.60% 상승하고 있다. 대형주 중심의 스탠더드앤드푸어스(S&P) 500 지수는 0.55% 오르고 있다. 기술주 중심의 나스닥 지수는 0.74% 뛰고 있다.월가 공포지수로 불리는 시카고옵션거래소 변동성 지수(VIX)는 1.63% 하락한 19.31을 기록하고 있다. 20선 아래에서 재차 하락하면서 투심이 살아 있다는 걸 방증했다.무엇보다 우크라이나 사태를 둘러싼 진전 기류가 주가를 띄웠다. 러시아 측 단장인 블라디미르 메딘스키 대통령 보좌관은 이날 터키 이스탄불에서 열린 우크라이나와 5차 협상 이후 기자회견에서 “우크라이나의 중립·비동맹·비핵 지위 추구를 확인하는 문서로 된 제안을 받았다”고 전했다.그는 “생화학무기를 포함한 모든 형태의 대량살상무기의 생산·배치 거부와 우크라이나 내 외국 군사기지와 외국 군대 배치 금지 등이 포함돼 있다”며 “우크라이나가 자신의 영토에서 안보 보증국들의 동의 없이 군사훈련을 실시하지 않는다는 내용이 들어가 있다”고 설명했다.메딘스키 단장은 “협상이 건설적으로 진행됐다”며 “이 제안을 검토하고 블라디미르 푸틴 대통령에게 보고할 것”이라고 강조했다.앞서 러시아의 군사 공격이 약화했다는 소식도 나왔다. 알렉산드르 포민 러시아 국방차관은 이날 “키이우와 체르니히우 지역에서 군사 활동을 대폭 줄일 것”이라며 “이를 즉각 실시할 것”이라고 밝혔다.세븐스 리포트 리서치의 톰 에세이 창업자는 “러시아와 우크라이나간 휴전 협상에 진전이 있다는 보도에 시장은 위험 선호 거래에 나섰다”고 말했다.이에 국제유가는 다시 떨어졌다. 뉴욕상업거래소에서 5월 인도분 서부텍사스산원유(WTI) 가격은 이날 장중 배럴당 98.44달러까지 내리면서 100달러를 하회했다. 5월물 브렌트유 가격은 장중 배럴당 104.84달러까지 내렸다. 유가 하락은 인플레이션 우려를 줄일 수 있는 재료다.시장이 근래 가장 주목하는 건 채권수익률곡선(일드 커브)이다. 긴축 우려에 국채금리가 치솟는 와중에 장단기 금리차가 좁혀져 곡선이 평평해지는 건 침체의 전조라는 해석이 분분하기 때문이다.장기시장금리 벤치마크인 미국 10년물 국채금리는 이날 현재 장중 4bp(1bp=0.01%포인트) 안팎 하락한 2.4% 초중반대에서 거래되고 있다. 반면 연준 통화정책에 민감한 2년물 국채금리는 1bp가량 오른 2.3% 후반대에서 거래 중이다. 10년물과 2년물 금리 차가 5bp에 불과할 정도로 좁혀진 것이다. 일부에서는 장단기 금리 역전 가능성까지 점치고 있다. 월가 내에서는 이를 둘러싼 경기 침체 논쟁이 한창이다.전날 주식분할 계획을 발표했던 테슬라 주가는 이날 보합권에서 움직이고 있다. 헬스케어업체 유나이티드헬스그룹은 LHC그룹을 인수하기로 했다는 소식 이후 주가가 강보합 흐름을 보이고 있다.
"모간스탠리, 핀터레스트 목표가 53달러→30달러…""사용자 감소 우려""",2022-03-29 23:27,한국경제TV,"모간스탠리가 핀터레스트의 투자의견과 목표가를 낮췄다.29일(현지시간) CNBC에 따르면 모간스탠리는 핀터레스트의 투자의견을 비중확대에서 중립으로 하향하고 목표주가를 주당 53달러에서 30달러로 내렸다.모간스탠리의 브라이언 노왁(Brian Nowak) 애널리스트는 ""소셜 미디어 플랫폼이 사용자 기반과 광고 제공을 늘리는 데 실패해 주식에 대해 너무 많은 불확실성을 야기했다""고 말했다.핀터레스트는 지난 1년간 미국 월간 사용자가 1,200만 명(약 12%) 감소했고 미국 사용자당 소비 시간도 지난 4분기 동안 2017년 수준으로 떨어졌다.광고 수익 가이던스도 3분기 연속 모간스탠리의 기대치를 하회한 것으로 집계됐다."
"뉴욕증시, 러시아·우크라 긴장 완화에 상승 출발",2022-03-29 23:17,연합뉴스,"(뉴욕=연합뉴스) 윤영숙 연합인포맥스 특파원 = 뉴욕증시는 러시아와 우크라이나 간의 지정학적 긴장이 다소 완화되면서 상승했다.29일(미 동부시간) 오전 10시 7분 현재 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 223.53포인트(0.64%) 오른 35,179.42를 나타냈다.스탠더드앤드푸어스(S&P)500지수는 전장보다 24.82포인트(0.54%) 상승한 4,600.34를, 기술주 중심의 나스닥 지수는 전장보다 127.90포인트(0.89%) 뛴 14,482.80을 기록했다.투자자들은 러시아와 우크라이나 간의 긴장 완화 소식과 국채금리 움직임, 경제 지표 등을 주시했다.러시아와 우크라이나 간의 평화 협상이 시작되면서 러시아의 군사 공격이 대폭 줄었다는 보도가 나왔다.알렉산드르 포민 러시아 국방차관은 이날 열린 러시아와 우크라이나의 5차 평화협상 뒤 ""키이우와 체르니히우 지역에서 군사 활동을 대폭 줄일 것""이라며 ""이는 즉각 실시된다""라고 밝혔다.러시아와 우크라이나 협상 대표단은 터키 이스탄불에서 5차 평화협상을 진행했으며, 러시아 측은 ""협상이 건설적으로 진행됐다""라고 밝혔다. 협상은 다음 날에 다시 시작될 예정이다.국채금리의 움직임도 시장이 주목하는 부문이다.전날 5년물 국채금리와 30년물 국채 금리의 역전이 발생해 경기침체 우려가 커진 가운데, 2년물과 10년물 국채금리 간 스프레드(차이)가 다시 좁혀졌다.2년물 국채금리가 1bp가량 올라 2.35%에서 거래되는 반면, 10년물 국채금리는 5bp가량 하락해 2.41%에서 거래되고 있다. 둘 간의 금리 스프레드는 6bp로 좁혀졌다. 단기금리가 장기금리 아래로 떨어져 수익률이 역전되면 시장은 이를 경기침체의 전조로 받아들인다.그러나 전문가들은 당장 미국 경제가 침체에 빠질 가능성은 작다고 보고 있다. 당분간 수익률 역전 가능성을 둘러싸고 경기 침체 논쟁은 지속될 것으로 보인다.S&P500지수 내 11개 업종 중에서 에너지와 자재(소재) 관련주만이 하락하고 나머지 9개 업종이 모두 올랐다.부동산과 통신, 필수 소비재, 기술주가 모두 상승했다.페덱스가 프레드 스미스 창립자 겸 최고경영자(CEO)가 오는 6월 1일 자로 사임할 것이라고 밝힌 이후 회사의 주가가 4% 이상 올랐다.헬스케어 업체 유나이티드헬스그룹이 LHC 그룹을 인수하기로 했다는 소식 이후 주가가 0.6% 올랐다. LHC그룹의 주가는 6% 이상 올랐다.자문업체 닐슨홀딩스의 주가는 브룩필드 자산운용과 엘리엇 매니지먼트가 이끄는 컨소시엄이 회사를 160억 달러에 인수하기로 했다는 보도에 20% 이상 올랐다.뉴욕증시 전문가들은 지정학적 긴장이 완화되면서 위험선호 거래가 나타났다고 진단했다.세븐스 리포트 리서치의 톰 에세이 창립자는 마켓워치에 ""시장이 오늘 아침 러시아와 우크라이나 간의 휴전 협상에 진전이 있다는 보도에 위험선호 거래에 나섰다""라고 말했다.FXTM의 루크만 오투누가 선임 애널리스트도 ""러시아와 우크라이나 간의 휴전 협상 가능성에 투자자들의 불안이 완화되며 금융시장에 긍정적인 분위기가 돌아왔다""라고 말했다.유럽증시는 상승했다.독일 DAX지수는 2.79% 올랐고, 영국 FTSE100지수는 0.88% 올랐다. 범유럽 지수인 STOXX600지수는 1.66% 오르고 있다.국제유가는 하락했다.5월물 서부텍사스산원유(WTI) 가격은 전장보다 4.9% 하락한 배럴당 100.71달러를, 5월물 브렌트유 가격은 전장 대비 4.93% 밀린 배럴당 106.93달러를 나타냈다.ysyoon@yna.co.kr"
"우버, BP와 배송 파트너십 확대",2022-03-29 23:08,한국경제TV,"승차공유 업체인 우버 테크놀로지스와 BP PLC는 전 세계 BP 매장에서 신선 식품 및 조리 식품을 포함한 편의 제품을 제공하는 파트너십을 확대한다고 밝혔다.확장된 파트너십은 향후 3년 동안 우버의 음식 배달 서비스인 우버 이츠(Uber Eats)에 3,000개 이상의 소매점을 제공하는 것을 목표로 한다.BP의 소매 사이트에는 BP가 소유하거나 라이선스를 부여한 기타 사이트가 포함된다.BP는 2019년 호주에서 처음 배송 서비스를 시작했으며 현재 다양한 파트너를 통해 10개 시장에서 배송 서비스를 제공하고 있다.새로운 파트너십에는 호주, 뉴질랜드, 폴란드, 남아프리카 공화국 및 미국 서부 해안이 포함된다.영국과 미국 동부의 사이트는 올해 후반에 추가될 예정이며 내년에는 다른 유럽 시장에도 진출할 계획이다.계약의 일환으로 우버 이츠와 BP는 2023년 말까지 영국, 미국 및 호주에서 사용할 수 있도록 계획된 BP의 자체 앱인 BPme에 배달 옵션을 도입할 예정이다.양사는 이번 계약이 고객 접근성을 높이고 배송 공간을 확대한다는 목표를 뒷받침한다고 설명했다.피에르 드미트리(Pierre Dimitri) 글로벌 배송 수석 부사장은 ""전 세계에 20,500개 이상의 지점을 두고 있는 BP의 영향력은 엄청나다""며 ""우리가 전 세계 소비자들이 필요한 것을 집 앞까지 배달할 수 있도록 지원하려는 야망을 추구함에 따라 BP는 중요한 파트너가 될 것""이라고 말했다."
러시아-우크라 평화협상 진전…증시도 반사효과 [뉴욕증시 나우],2022-03-29 23:07,한국경제TV,"여기는 미국 동부시간 29일 오전 9시 31분입니다. 월가는 러시아와 우크라이나가 평화 협상에 진전을 보일 가능성에 주목하고 있습니다. 앞서 드미트리 페스코프 러시아 크렘린궁 대변인이 협상의 운명이 오늘 혹은 내일 안에 갈릴 것이라고 말한 상황에서 조금 전 러시아 국방부 차관이 키이우 인근 군사 작전을 크게 줄일 것이라고 말한 것이 시장에 전해졌습니다. 우크라이나는 러시아의 협상 조건 가운데 하나인 중립국 지위를 논의할 수 있다는 입장을 밝혀왔습니다. 국제유가는 개장 전 배럴당 100달러 아래로 떨어졌었습니다.이같은 소식과 함께 유럽 증시도 올랐고, 뉴욕증시 3대지수 선물도 상승했죠. 오늘 장중에 발표될 소비자신뢰지수와 연준 위원들의 발언, 그리고 고용추이를 알 수 있는 2월 졸트 보고서들도 시장을 움직일 수 있는 요인이 될 겁니다. 10년물과 2년물 장단기 금리차는 계속해서 좁혀지고 있습니다. 10년물 미국 국채 수익률은 전날보다 떨어진 연 2.45% 선에서 움직이고 있고, 2년물은 연 2.36%로 금리차는 9bp 정도로 줄어들었습니다.오늘 장 초반 주목할만한 움직임을 보이는 종목들도 살펴볼까요. S&P 500 종목 가운데 프리마켓에서 거래량과 상승폭이 가장 높은 종목은 시청률조사기관 닐슨입니다. 티커종목명은 NLSN이죠. 지난 번에도 말씀드렸던 적이 있는데, 닐슨이 160억달러에 사모펀드 컨소시엄에 인수되는 데 동의했습니다. 닐슨 입장에서는 과거에 받았던 제안 보다 몸값을 더 높인 거고요. 법원의 승인이 이뤄지면 오는 하반기에 거래가 완료될 전망입니다. 닐슨의 주가는 개장 전 거래에서 22% 이상 올랐습니다.오늘 실적이 발표될 대형 기업들의 초반 주가도 좋습니다. 장 전체적으로 투자심리가 나쁘지 않은 상황에서 실적 기대감이 주가에 긍정적으로 작용하는 모습인데요. 메모리반도체 제조업체인 마이크론, 티커종목명 MU는 오늘 실적 발표를 앞두고 어제에 이어 주가가 3% 가까이 오르고 있습니다. 지난 2월까지의 분기 실적이 발표될 예정인데 시장 컨센서스는 매출 75억 3천만 달러, 주당순이익 1.98달러 수준입니다.역시 오늘 실적을 발표한 요가용 의류기업 룰루레몬(LULU)도 개장 전 거래에서 주가가 2% 가까이 뛰는 모습입니다. 룰루레몬은 매출 21억3천만 달러, 주당순이익은 3.27달러를 기록할 것으로 시장에서는 전망하고 있습니다."
"브룩필드-엘리엇 컨소시엄, 160억 달러에 닐슨 인수",2022-03-29 22:55,한국경제TV,미국 시청률 조사업체 닐슨홀딩스가 160억 달러에 매각된다.29일(현지시간) 월스트리트저널에 따르면 엘리엇 매니지먼트와 브룩필트 자산운용이 이끄는 사모펀드 컨소시엄이 부채를 포함해 약 160억 달러에 닐슨홀딩스를 인수하는 것을 추진 중이다.컨소시엄은 닐슨 주식 1주당 28달러를 지불하기로 합의했는데 이는 월요일 종가 22.21달러보다 26.1% 높은 수준이다.
'가상자산'으로 돌파구 찾는 증권사…조직 꾸리고 연구조사 강화,2022-03-29 22:47,이데일리,"SK증권, 블록체인혁신금융팀 신설미레에셋증권, 그룹 주도 가상자산 사업 추진삼성증권 증권형토큰 사업 진출방안 스터디 중가상자산, 시장 성장성 높고 기존 사업과 연속성 주목[이데일리 양지윤 기자] 증권사들이 새 먹을거리 발굴에 속도를 내고 있다. 올 들어 개인들의 주식 거래 매매가 둔화되며 수수료 수입이 줄어든 영향이다. 특히 증권시장이 성장 한계점에 다다랐다는 판단에 따라 성장 잠재력이 큰 가상자산에 손을 뻗는 증권사들도 늘어나고 있다.[이데일리 김정훈 기자]29일 금융투자업계에 따르면 SK증권은 이달 초 이달 초 스마트시티추진실 내에 ‘블록체인혁신금융팀’을 신설했다. 최근 블록체인 리포트를 집중적으로 내면서 가상자산 업계에서도 전문가로 통하는 한대훈 애널리스트가 팀장을 맡았다.앞서 SK증권은 지난해 6월 국내 최대 규모 관광·레저기업도시인 전남 해남 솔라시도 스마트시티 도시개발을 본격적으로 추진하기 위해 서남해안기업도시개발과 상호 협력하기로 했다. 이를 위해 SK증권은 해당 업무를 진행해오던 리서치센터를 지식서비스부문으로 확대하고, 부문 내 스마트시티추진실을 신설했다. 블록체인혁신금융팀은 솔라시도에 메타버스를 구축하는 과정에서 필요한 리서치와 실무를 담당하기 위해 꾸려졌다.한대훈 SK증권 블록체인혁신금융팀장은 “가상자산에 대한 관심이 높아지는 시점에서 관련된 리서치가 부족한 상황”이라며 “시장 상황 점검, 해외 트렌드 파악 등 투자자들에게 길잡이가 될 수 있는 자료를 꾸준히 발간할 계획”이라고 말했다.미래에셋증권은 그룹 차원에서 가상자산 사업에 시동을 걸고 있다. 관계사인 미래에셋컨설팅 산하에 자회사를 설립하고 가상자산 사업을 준비하고 있다. 이를 위해 비트코인, 이더리움, 대체불가토큰(NFT)을 비롯한 다양한 디지털자산의 기관 대상 서비스를 연구와 개발 인력 채용을 진행 중이다. 미래에셋증권은 가상자산 사업을 직접 추진하기보다 미래에셋그룹 산하 태스크포스(TF)에 참여하는 방식으로 그룹과 보폭을 맞추고 있다.삼성증권은 블록체인 기반 증권형토큰 사업 진출 방안에 대한 스터디를 진행하고 있다. 지난해 말 증권형토큰 거래 플랫폼 개발과 운영, 블록체인 스마트 컨트랙트 개발업무 등을 담당할 인력 찾기에 나섰지만 채용으로 이어지지 못했다.한화투자증권은 지난해 블록체인 업체인 두나무 지분 6.14%를 인수했다. 두나무는 국내 1위 가상자산거래소인 업비트의 운영사다.증권사들이 가상자산으로 보폭을 넓히고 있는 것은 미래 먹을거리를 선점하기 위해서다. 당분간 금리 인상과 유동성 축소 등으로 글로벌 증시 불안정이 지속돼 증권사의 영업환경이 녹록지 않을 것으로 예상되기 때문이다. 지난해 국내 증시 최대 호황에 힘입어 주요 증권사의 자기자본이익률(ROE)은 19.4%로 상승했지만, 올해는 코로나19 사태 이전보다 소폭 높은 수준인 11.8%로 전망된다. 코로나와 같은 특수한 대내외 상황이 아니라면 기존 사업구조에서 20%대로의 진입은 쉽지 않은 만큼 각 증권사들은 수익원 다각화가 절실하다. 가상자산의 경우 시장 성장성이 높으면서 기존 증권사들의 사업모델과 연속성을 가지고 있어 매력적인 선택지라는 분석이다.증권업계 관계자는 “가상자산이 금융시장 자산의 한 축으로 자리 잡은 만큼 미래 성장동력 확보 차원에서 각 증권사들이 암호화폐와 대체불가토큰(NFT) 가상자산 사업에 눈독을 들이고 있다”며 “다만 금융당국에서 가상자산에 대한 가이드라인을 명확하게 제시하지 않은 터라 당분간 상품개발에는 나서지 않을 것”이라고 말했다."
"커지는 사이버 공격 공포…바클레이즈 ""포티넷이 수혜 입을 것"" [강영연의 뉴욕오프닝]",2022-03-29 22:22,한국경제,"이 기사는 국내 최대 해외 투자정보 플랫폼 “한경 글로벌마켓”에 게재된 기사입니다.모건스탠리가 핀터레스트에 대한 투자의견을 비중 확대에서 중립으로 하향 조정했습니다. 핀터레스트는 한국에서도 많이 사용하는 소셜네트워크서비스(SNS) 기업인데요. 모건스탠리는 핀터레스트 사용자가 크게 늘지 않고 있고, 광고도 줄고 있다며 투자의견을 낮췄습니다.핀터레스트는 지난해 한 해 동안 부진한 성적을 거뒀습니다. 월간 사용자는 1200만명으로 12%가 감소했고, 사용자 1인당 사용 시간도 2017년 수준까지 떨어졌습니다. 당연히 광고 수익도 줄어드는 추세입니다. 이에 모건스탠리는 핀터레스트의 목표주가를 53달러에서 30달러로 낮췄습니다. 새로운 목표주가는 월요일 종가보다 13.4% 높은 수준입니다.도이체방크는 CVS가 단기적으로나 중기적으로 어려움에 부닥칠 수 있다면서 투자의견을 매수에서 홀드로 하향 조정했습니다. CVS는 약국 체인 기업인데요. 코로나 가운데 백신 접종, 의약품 판매 증가 등으로 좋은 흐름을 보여왔습니다.하지만 앞으로 전망을 밝지 않다는 분석입니다. 먼저 CVS가 340B 프로그램 관련 문제로 타격을 받을 수 있다고 했습니다. 340B 프로그램은 제약기업들이 저소득층 환자들을 주로 보는 병원들에 할인을 해주도록 하는 약값 인하 정책입니다. 제약사들은 이것이 병원 배만 불리고 있다고 주장해왔고, 최근 12개의 제약사가 관련 프로그램에 대해서 단속하고 있습니다. 그리고 이것이 CVS나 월그린 같은 약국 체인들에도 영향을 줄 수 있다는 겁니다.중기적으로 봤을 때도 내년이면 센틴과의 계약이 종료되고 주요 약품 계약을 따내기 위해 경쟁이 치열해지는 가운데 오피오이드 소송도 진행되고 있어 부정적이라고 했습니다. 그러면서 도이체방크는 CVS의 목표주가를 110달러로 유지했습니다. 이는 월요일 종가보다 1.8% 높은 수준입니다.최근 전 세계적으로 사이버 공격이 증가하면서 사이버 보안에 대한 관심이 커지고 있는데요. 바클레이즈는 포티넷이 여기에서 큰 이익을 얻을 수 있을 것이라며 중립에서 비중 확대로 투자의견을 상향했습니다. 특히 포티넷의 매출이 다양한 국가에서 나오고 있다는 점에 주목했습니다. 포티넷은 매출의 70%가 미국 외의 지역에서 나오고 있는데요. 지리적으로 가장 다양한 네트워크 보안 업체라는 평가입니다. 미국뿐 아니라 전 세계적으로 사이버 공격이 증가하는 만큼 성장 가능성도 크다고 기대했습니다. 그러면서 목표주가를 364달러에서 395달러로 올렸습니다. 이는 월요일 종가보다 16.7% 높은 가격입니다.뉴욕=강영연 특파원 yykang@hankyung.com"
금소법 시행 1년…민원 줄었지만  현장에선 “제도 보완 필요”,2022-03-29 22:01,한국일보,"지난해 4대 시중은행 민원 전년 대비 38% 감소금융권, 금소법 순기능 인정하면서도비대면 소비자 보호· 절차 간소화 등 보완점 지적금융당국 ""올해 현장점검 등 통해 제도 보완""지난해 9월 서울 종로구 한 시중은행 본사 영업점에 금융소비자보호법 시행 안내 브로셔가 비치됐다. 뉴스1금융소비자보호법(금소법)이 시행된 1년 동안 금융사 소비자 민원이 감소한 것으로 나타났다. 금소법 시행으로 소비자가 상품 정보를 정확하게 공지받은 결과로 풀이된다. 금융권은 대체로 금소법의 순기능을 인정하면서도 △절차 간소화 △비대면 소비자 보호 강화 등 지속적인 제도 개선이 필요하다고 지적했다.29일 금융권에 따르면 지난해 4대 시중은행(KB국민·우리·하나·신한)에 접수된 민원은 1,287건으로 전년(2,068건)에 비해 약 38% 감소했다. 생명보험사와 증권사의 소비자 민원도 전년 동기 대비 각각 13%, 7% 줄었다.금소법은 불완전 판매 등으로 소비자가 입을 수 있는 피해를 차단하기 위한 제도 도입을 위해 마련됐다. 금융사는 상품 판매 시 △적합성 원칙 △적정성 원칙 △설명 의무 원칙 △불공정 영업행위 금지 △부당권유행위 금지 △과장 광고 금지 등 6대 판매 원칙을 준수해야 한다.금융권은 대체로 금소법이 소비자 보호를 위한 안정장치로 작동하고 있다고 평가했다. 한 보험사 관계자는 “광고 규제가 강화되면서 유튜브 등 온라인에서 정보 전달을 가장해 행해지던 보험 광고 및 영업이 줄고 있다”며 “소비자 입장에서는 정확한 정보를 접한 후 안전한 상품에 가입할 수 있는 환경이 조성되고 있다”고 설명했다.다만 아직 시행 초기인 만큼 보완이 필요하다는 목소리도 나왔다. 특히 대다수 금융사가 금소법이 비대면 거래를 하는 소비자를 제대로 보호해주지 못한다고 지적하고 있다.현재 오프라인 창구를 통해 금융 상품을 판매하면 설명 의무 원칙에 따라 직원이 설명서를 읽어줘야 한다. 그러나 인터넷이나 모바일로 상품에 가입할 때에는 고객이 설명서만 내려 받아도 설명 의무가 충족된 것으로 간주한다. 그만큼 불완전 판매 위험에 노출될 가능성이 커지는 것이다.설명 의무 원칙이 지나치게 소모적이라는 평가도 나왔다. 한 시중은행 창구 직원은 “과거에 비해 상품 가입 절차가 복잡해지고 설명 시간이 길어져 소비자가 창구에서 소비하는 시간이 두 배 이상 늘었다”며 “보다 효율적인 방식을 고민해봐야 한다”고 말했다.금소법에 담긴 청약철회권을 악용하는 사례도 나타났다. 청약철회권이란 △대출 상품 14일 이내 △보장성 상품 15일 이내 △투자성 상품 7일 이내에 별도의 수수료 없이 계약을 철회할 수 있는 권리를 말한다. 은행권 관계자는 “공모주 청약을 위해 신규 대출을 진행한 뒤 청약철회권을 행사해 중도상환수수료를 내지 않고 상환한 사례도 종종 발생한다”고 밝혔다.상품 특성에 따라 6대 판매 원칙을 다르게 적용해야 한다는 의견도 나왔다. 대출성 상품은 소비자의 신용도, 소득 수준, 담보물 등에 따라 대출한도와 금리를 산출하기 때문에 투자성 상품과 달리 적정성, 적합성을 적용하는 절차가 불필요하다는 것이다.금융당국은 이 같은 업계 의견을 취합해 향후 미비점을 개선해 나갈 계획이라고 밝혔다. 금융위원회 관계자는 “올해 중 현장점검을 실시하고, 이르면 5월까지 온라인 판매 관련 가이드라인을 마련하는 등 현장에서 지적한 문제점을 개선해 나갈 계획”이라고 말했다."
“4월에도 박스피…삼성重·하이트진로·롯데쇼핑 등 실적개선주 주목 ”,2022-03-29 21:48,서울경제,"증권사 4월 코스피 2600~2950선 제시전문가 ""1분기 실적시즌, 펀드멘털 중요""에스디바이오, 포스코케미칼 등 1분기 호실적[서울경제]국내 증시가 이달 지정학적 리스크와 금리 인상 악몽에서 서서히 벗어나며 반등 조짐을 보였다. 증권가에서는 4월 주식시장이 바닥을 다진 뒤 완만하게 상승할 것이라는 의견이 많다. 그동안 증시를 짓누르는 악재가 선반영된 만큼 시장이 제자리를 찾아갈 것이라는 기대감이 싹트고 있다. 다만 스태그플레이션(경기 침체 속 물가 상승) 공포 등은 증시의 발목을 잡을 수 있는 불안 요소다. 증권사 리서치센터들은 다음 달에도 박스권에서 지수가 움직이는 ‘박스피’ 장세가 이어질 것으로 예상하면서 실적 개선이 이뤄지는 개별 종목 위주로 접근할 것을 권했다.29일 한국거래소에 따르면 코스피지수는 이날 전 거래일 대비 11.51포인트(0.42%) 오른 2741.07포인트에 거래를 마쳤다. 코스닥도 전날 대비 10.72포인트(1.16%) 상승한 937.83포인트에 마감했다. 이달 들어 코스피는 15일 2621.53포인트로 저점을 찍은 뒤 2700 선을 회복하며 완만하게 상승하고 있다. 16일(현지 시간) 미 연방공개시장위원회(FOMC) 회의 이후 시장 참여자들은 통화정책 불확실성이 줄고 우크라이나 전쟁도 최악의 상황은 지난 것으로 받아들이는 분위기다.증권가에서는 국내 증시가 각종 악재를 소화하며 저점을 확인한 만큼 다음 달에는 부활의 날갯짓을 할 것이라는 주장이 지배적이다. 삼성증권은 2분기 코스피 예상 밴드로 2650~2950 선을 제시하며 상대적으로 긍정적인 전망을 내놓았다. 반면 교보증권은 코스피지수가 2600~2800 선 사이에서 움직이며 코스피 상승 폭이 제한적일 것으로 예상했다. 신한금융투자는 2600~2850 선으로 전망했다.무엇보다 4월 국내 증시의 향방이 상장사의 1분기 실적에 좌우될 것이라고 입을 모았다. 교보증권에 따르면 코스피와 코스닥 상장기업의 2022년 예상 영업이익은 3월 말 기준 약 248조 1000억 원이다. 지난해 상장사 영업이익 242조 3000억 원과 비교할 때 실적 둔화될 것으로 보인다. 김형렬 교보증권 리서치센터장은 “1분기 실적 시즌 이후로는 실적과 기업의 펀더멘털에 대한 평가가 조금 더 주가 수익률에 직접적인 영향을 미칠 것”이라며 “다만 올해 상장사 기업 실적이 소폭 감소하더라도 200조 원을 넘는 실적은 주식시장의 투자 매력을 부활시킬 수 있는 수준”이라고 판단했다.가장 큰 리스크로는 우크라이나 전쟁을 꼽았다. 김용구 삼성증권 연구원은 “지정학적 리스크로 원자재 공급 차질에 기인한 인플레이션 압력이 더 악화할 수 있고 러시아 신용 위험의 글로벌 전염 우려도 있다”고 설명했다.코스피지수가 저점도, 상단도 막혀 있는 박스권에서 움직일 것으로 예상되는 가운데 결국 1분기를 비롯해 올해 이익 모멘텀에 따른 종목 선별이 중요하다는 게 전문가들의 공통된 의견이다. 교보증권은 삼성전자(005930) 등 반도체보다는 실적이 개선될 것으로 보이는 삼성중공업(010140)·하이트진로(000080)·POSCO홀딩스(005490)의 비중 확대를 조언했다.3월 미니 랠리에서 소외됐던 성장주에 주목하라는 의견도 나온다. 성장주는 그동안 금리 인상 압박에 주가가 큰 폭으로 조정을 받아 높은 수익률이 기대된다. 노동길 신한금융투자 연구원은 “현재 국내 주식시장은 소외주가 주도주 대비 상대적으로 수익률을 높이는 국면”이라며 “지난 3개월 수익률 기준으로 하위 업종이었던 게임·메타버스·바이오·비메모리에 대한 투자 전략은 유효하다”고 조언했다. 그러면서 1분기 어닝서프라이즈 가능 종목으로 롯데쇼핑·S-OIL·현대글로비스·삼성화재 등을 꼽았다.스태그플레이션 우려가 고조됐을 때에 대비해 내수 방어주와 실적 모멘텀을 보유한 구조적 성장주 등으로 리스크 관리에 들어가야 한다는 의견도 나왔다. 김 연구원은 “소프트웨어(SW), 통신, 미디어, 상업 서비스(방산), 바이오 등의 내수 방어주 또는 구조적 성장주는 스태그플레이션 리스크 헤지 능력이 상대적으로 우수했다”고 덧붙였다. 삼성증권에 따르면 에스디바이오센서(137310)는 2022년 1분기 영업이익 1개월 상승률이 15.6%에 달했다. 이어 포스코케미칼(003670)(11.1%), 펄어비스(263750)(4.5%), SKC(011790)(4.4%), 카카오게임즈(293490)(3.9%) 순으로 호실적을 예고했다."
