제목,시간,언론사,본문
"뉴욕증시, 지정학적 위기·긴축 우려 속 혼조세로 출발",2022-03-25 23:03,연합뉴스,"(뉴욕=연합뉴스) 윤영숙 연합인포맥스 특파원 = 뉴욕증시는 러시아와 우크라이나를 둘러싼 지정학적 위기와 연방준비제도(연준·Fed)의 공격적 긴축 우려 속에 혼조세를 보였다.25일(미 동부시간) 오전 9시 43분 현재 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 61.15포인트(0.18%) 오른 34,769.09를 나타냈다.스탠더드앤드푸어스(S&P)500지수는 전장보다 5.07포인트(0.11%) 상승한 4,525.23을, 기술주 중심의 나스닥 지수는 전장보다 27.61포인트(0.19%) 하락한 14,164.23을 기록했다.투자자들은 러시아-우크라이나 사태와 연준의 긴축 속도, 국채금리 등에 주목하고 있다.앞서 조 바이든 미국 대통령은 우크라이나를 침공한 러시아를 주요 20개국(G20)에서 퇴출해야 한다고 밝혔으며 러시아가 화학 무기를 사용한다면 대응할 것이라고 강력히 경고했다.또한 미국은 올해 유럽에 액화천연가스(LNG) 최소 150억㎥를 추가 공급하기 위해 국제 파트너들과 협력하고, 앞으로 이를 더 늘려갈 것이라고 밝혔다.미국과 EU는 우크라이나와 EU의 에너지 안보를 촉진하기 위한 태스크포스(TF)도 구성하기로 했다.지정학적 위기가 지속될수록 인플레이션 위험은 커지고 있다. 인플레이션 위험이 커질수록 연준의 공격적 긴축 가능성에도 힘이 실릴 전망이다.연준의 긴축 우려는 제롬 파월 연준 의장이 50bp 금리 인상 가능성을 열어두면서 강화됐다.시장은 다음 회의인 5월과 6월 연방공개시장위원회(FOMC) 정례회의에서 연준이 각각 50bp(=0.50%포인트)씩 금리를 올릴 가능성을 70% 이상으로 보고 있다.6월까지 기준금리가 1%포인트 상승한 1.25~1.50%까지 오를 것을 예상하고 있다.10년물 국채금리는 연준의 공격적 금리 인상을 반영해 지속해서 오르고 있다. 이날은 장중 2.45%까지 올랐다. 이는 2019년 5월 이후 최고치를 또다시 경신한 것이다. 연준의 통화정책에 민감한 2년물 국채금리는 2.25%를 기록해 2010년 5월 이후 최고치를 기록했다.10년물과 2년물 국채금리 스프레드(차이)는 20bp(=0.20%포인트) 아래로 떨어졌다. 금리 차이의 축소는 수익률 곡선이 평탄화되고 있다는 신호이다. 채권시장에서는 수익률 곡선의 평탄화로 경기 침체와 스태그플레이션(고물가 속 경기 둔화)에 대한 우려도 커지고 있다.S&P500 지수 내 11개 업종 중에서 기술주만 약세를 보이고 나머지 10개 업종은 모두 오르고 있다.금융과 통신, 에너지, 유틸리티 관련주가 상승을 주도했다.베드 배스 앤드 비욘드의 주가는 회사가 행동주의 투자자 라이언 코헨과 RC 벤처스와 협력을 발표했다는 소식에 3% 이상 올랐다.뉴욕에 상장된 알리바바와 JD닷컴의 주가는 미국 회계 감독 기구인 상장기업회계감독위원회(PCAOB)가 중국과 합의에 근접했다고 말하긴 이르다고 밝히면서 각각 2%, 3% 하락했다.뉴욕증시 전문가들은 인플레이션이 고공행진 하는 상황이라 투자자들이 현금을 보유하기보다 대안으로 주식에 투자하고 있는 것으로 보인다고 해석했다.클라인워트 함브로스의 파하드 카말 수석투자책임자(CIO)는 월스트리트저널에 ""분쟁이 오래 지속될수록, 인플레이션은 더 올라가고 성장은 더 하락할 것""이라며 ""이는 매우, 엄청나게 불확실한 상황""이라고 말했다.카말 CIO는 최근의 주가 반등은 투자자들이 저가 매수에 나서고 있기 때문이라며 ""큰 폭의 하락이 있을 때마다 현금이 유입되는 것을 볼 수 있으며, 이는 상당 부분 지속됐다. 인플레이션이 8%로 올라가 현금은 오갈 데가 없는 상황이라 갈 곳이 필요하다""고 말했다.UBS 글로벌 웰스 매니지먼트의 마크 해펠레 수석 투자 책임자도 ""연준의 매파적 발언과 스태그플레이션 우려에도 주가는 오르고 있다""라며 ""많은 사람이 주식 이외에는 대안이 없다고 믿고 있기 때문""이라고 말했다.유럽증시는 상승했다.독일 DAX지수는 0.52% 올랐고, 영국 FTSE100지수는 0.21% 올랐다. 범유럽 지수인 STOXX600지수는 0.25% 오르고 있다.국제유가는 하락했다.5월물 서부텍사스산원유(WTI) 가격은 전장보다 1.39% 하락한 배럴당 110.77달러를, 5월물 브렌트유 가격은 전장 대비 1.30% 밀린 배럴당 117.48달러를 나타냈다.ysyoon@yna.co.kr"
연방 차원 대마 합법화 이슈에 관련주 일제 상승···두자릿수 대 껑충 [뉴욕증시 나우],2022-03-25 22:46,한국경제TV,"여기는 미국 동부시간 25일 오전 9시 31분입니다. 3대 지수 선물들 흐름 보면, 시장에 긍정적인 요인들이 나왔다기보다는 점점 더 매파적으로 변해가는 연준과 여러 불확실성에도 지금 상황에서는 그동안 많이 떨어졌던 주식시장을 대체할 만한 투자처를 찾기 어렵다는 이야기가 월가에서는 나옵니다. UBS의 최고투자책임자(CIO)인 마크 헤펠레가 실제로 그런 발언을 하기도 했습니다.시장에 들어온 소식들 살펴보면 우선 미국과 EU가 러시아의 가스 의존도를 줄이기 위한 협력방안을 발표했습니다. 미국이 올해 연 150억 입방미터 규모의 LNG를 EU에 공급하고, 앞으로 2030년까지 매년 500억 입방미터를 공급할 것이라는 내용입니다. 오늘 프리마켓에서는 큰 움직임이 없지만, 내용이 더 구체화되면 코테라에너지나 레인지리소시스 등과 같은 미국 천연가스 관련주 주가에 긍정적인 요인이 될지도 체크해볼 부분이고요.한편 계속해서 서방 세계의 압박을 받고 있는 러시아는 우방국에 에너지를 수출하고, 대금을 비트코인 등 가상자산으로 받는 방안도 모색하고 있다는 소식이 시장에 알려졌습니다.관련해서 오늘 장 초반 눈에 띄게 움직이는 종목들 살펴볼까요. 프리마켓에서는 어제에 이어 대마 관련주들의 주가가 큰 폭으로 상승하고 있습니다. 이르면 다음 주에 하원에서 현재 일부 주별로 실시하고 있는 대마 합법화를 연방 차원에서 허용하는 법안을 표결한다는 소식이 들려왔기 때문입니다. 티커종목명 SNDL인 선다이얼 그로워스는 프리장에서 한때 23% 넘게 올랐고요. 미국 시장에서 기호용·의료용 대마 관련주로 분류되는 종목들이 캐노피 그로우스(티커명 CGC)나 틸레이(TLRY) 등도 모두 10% 넘는 상승률을 보였습니다.S&P 500 종목 가운데 프리마켓 거래량이 가장 높은 곳은 뱅크오브 아메리카입니다. 주가는 1% 가까이 오르고 있고요.베드 배스 앤드 비욘드(BBBY)는 프리장에서 주가가 6% 넘게 올랐습니다. 이 회사는 최근 게임스톱 의장인 라이언 코헨이 10%의 지분을 가지고 있다는 이슈로 주가가 움직여 왔죠. 라이언 코헨이 그동안 좋지 않은 실적을 보인 베드 배스 비욘드의 이사회 임원진을 곧 교체하기로 했다는 소식에 주가가 상승중입니다."
김원규 이베스트투자증권 대표이사 연임…배당금 375억원 확정,2022-03-25 21:41,아시아경제,"김원규 이베스트투자증권 대표이사가 연임에 성공했다.이베스트투자증권은 25일 열린 정기 주주총회에서 김 대표이사의 재선임 안건을 가결했다. 김 대표이사의 임기는 3년이다. 김 대표이사는 우리투자증권과 NH투자증권 대표이사를 거쳤다. 전용준 이베스트투자증권 경영지원총괄은 사내이사로 신규 선임됐다.이날 총액 374억7202만원 규모의 배당안도 통과됐다. 아울러 이정의, 나윤택, 김진한 사외이사 재선임안도 가결됐다."
"천슬라 된 테슬라, 목표주가 다 왔다…서학개미는 매도 중[오미주]",2022-03-25 21:31,머니투데이,"[편집자주] '오미주'는 '오늘 주목되는 미국 주식'의 줄인 말입니다. 주가에 영향을 미칠 만한 이벤트가 있었거나 애널리스트들의 언급이 많았던 주식을 뉴욕 증시 개장 전에 소개합니다.[[오미주]]테슬라가 24일(현지시간) 8거래일째 상승세를 이어가며 천슬라(주가 1000달러)를 회복했다.테슬라는 이날 1.48% 오른 1013.92달러로 마감했다. 테슬라가 1000달러 위에서 거래를 마치기는 지난 1월18일 1030.51달러 이후 두달여만에 처음이다.테슬라는 지난 14일부터 8거래일 연속 상승했다. 8거래일간 주가는 766.37달러에서 1013.92달러로 32.3% 급등했다.이 기간 동안 나스닥지수는 12.8% 올랐고 S&P500 지수와 다우존스지수는 각각 8%와 5%.가량 오르는데 그쳤다.이 결과 테슬라의 올들어 낙폭은 4.06%로 줄어 올들어 9.29% 떨어진 나스닥지수를 아웃퍼폼하게 됐다.테슬라는 지난 12개월간 거의 60% 올랐고 종가 기준 52주 최저치인 지난해 5월19일 563.46달러에 비해서는 거의 80% 올랐다.테슬라의 8거래일 연속 상승은 지난 1월8일까지 11거래일 연속 상승 이후 최장기이다. 테슬라는 3월 들어 16%가량 올라 한달간 43% 폭등한 지난해 10월 이후 가장 높은 수익률을 보이고 있다.테슬라는 3월 들어 첫 10거래일 중 7거래일 떨어지며 2월말부터 지난 14일까지 약 12% 떨어졌다 14일에 바닥을 치고 32% 급반등했다.이 기간 동안 테슬라는 중국 상하이 공장에서 생산하는 전기차 가격을 올려 원자재 가격 상승에 따른 영업이익률 축소를 방어했다.또 지난 22일엔 독일 베를린 외곽의 가가팩토리 가동을 시작하면서 전기차 수요가 많은 유럽 시장에서 매출액이 크게 늘어날 것이란 기대를 모았다.테슬라의 독일 공장은 연간 50만대의 전기차 생산 능력을 갖췄으며 올해는 10만대 가량을 생산하는 것을 목표로 하고 있다.지난 22일(현지시간) 테슬라 독일 공장 개장식에서 춤 추는 일론 머스크 CEO(최고경영자) /로이터=뉴스1최근 테슬라에 대한 애널리스트들의 평가는 낙관적이었다.제프리즈의 애널리스트 필리페 휴초이스는 지난 21일 보고서에서 ""최근 제조업체들의 실적 전망치를 하향 조정하고 있는데 테슬라는 오히려 상향 조정했다""며 ""최근의 전기차 가격 인상이 원가 상승 리스크를 상쇄하고도 남을 것으로 전망하기 때문""이라고 밝혔다.이어 ""테슬라는 물리적으로 성장할 수 있는 능력 이상으로 현금을 빠르게 쌓아가고 있으며 우리는 일론 머스크 CEO(최고경영자)가 마스터플랜 3부를 공개할 것으로 기대한다""고 설명했다.휴초이스는 올해부터 2024년까지 테슬라의 매출액 및 EPS(주당순이익) 전망치를 상향 조정하고 '매수' 의견을 유지했다.다만 ""거시 환경과 지정학적 문제에서 불거진 리스크가 밸류에이션에 미치는 영향을 고려해"" 목표주가는 1400달러에서 1250달러로 낮췄다.지난 18일에는 웨드부시의 애널리스트인 대니얼 이베스가 테슬라에 대해 목표주가 1400달러를 유지했고 골드만삭스는 전기차업체 탑픽으로 테슬라를 꼽으며 목표주가 1200달러를 제시했다.팁랭크에 따르면 테슬라에 대한 애널리스트들의 투자 의견은 '매수' 15명, '보유' 6명, '매도' 6명이다. 평균 목표주가는 1046.22달러이다. 이는 지난주 1062.40달러에 비해 16달러 가량 낮아진 것이다.반면 투자전문지 배런스는 테슬라 주가가 다시 1000달러를 넘은데 대해 뚜렷한 이유가 없다고 지적했다. 최근 대형 투자은행이 투자의견이나 목표주가를 상향 조정한 것이 없다는 것이다.배런스는 3월 들어 테슬라에 대한 투자은행들의 실적 전망치도 거의 변하지 않았고 오히려 평균 목표주가는 지난 2월말 960달러에서 940달러로 내려갔다고 지적했다. 팁랭크와 배런스가 집계한 애널리스트들의 평균 목표주가는 대상 애널리스트 규모가 달라 차이가 난다.테슬라의 주가 상승이 합당했는지는 오는 4월2일에 공개되는 올 1분기 실적 발표에서 확인할 수 있다. 애널리스트들은 테슬라가 올 1분기에 32만대의 전기차를 출하했을 것으로 보고 있다.한편, 서학개미들은 최근 테슬라가 700달러대로 떨어졌을 때 순매수하다 800달러를 넘어서면서부터 순매도하는 경향을 보이고 있다.힌국예탁결제원에 따르면 서학개미들은 테슬라 주가가 800달러대를 회복하고 오르기 시작한 지난 15일부터 22일까지(결제 기준 18~25일) 6거래일간 1억2540만달러를 순매도했다. 특히 테슬라 주가가 900달러를 넘어선 지난 22일에 매물이 쏟아졌다.서학개미들은 3월초에도 주가 800~840대 사이에서 대거 순매도에 나섰다.이에 따라 테슬라에 대한 서학개미들의 매매 동향은 3월들어 지난 22일까지 508만달러를 매도 우위를 보이고 있다.서학개미들이 3월에 테슬라를 순매도한다면 지난해 9월 이후 6개월만에 처음이다."
"이부진·이서현, 삼성SDS 주식 301만주 처분",2022-03-25 20:46,데일리안,처분 단가 주당 12만7680원삼성SDS 로고[데일리안 = 이호연 기자] 삼성SDS는 이부진 호텔신라 사장과 이서현 삼성복지재단 이사장이 이 회사 주식 총 301만8860주를 처분했다고 25일 공시했다. 이에 따라 이부진 사장과 이서현 이사장이 보유한 삼성SDS 주식은 각각 151만1584주(1.95%)로 줄어들었다.앞서 두 사람은 지난 22일 시간 외 매매 방식으로 주식을 매도했다. 처분 단가는 주당 12만7680원이다.
"'한탕주의' 횡령 되풀이…""관리장치 강화해야""",2022-03-25 20:14,연합뉴스TV,"[앵커]최근 상장사나 관공서 등에서 횡령 범죄가 끊이지 않고 있습니다.내부 관리 소홀을 물론 횡령한 돈을 주식 등에 투자하는 '한탕주의'도 주요 원인인데요.실질적인 관리 강화 조치가 시급하다는 지적입니다. 최덕재 기자입니다.[기자]2,200억원대, 역대 상장사 횡령 금액 기록을 갈아치운 지난 1월 오스템임플란트 사건. 여기다 245억원을 횡령한 계양전기 사건까지.수십억원대 피해가 발생한 것으로 알려진 이번 LG유플러스 횡령 이전부터 대규모의 횡령 범죄가 줄 잇고 있습니다.최근에는 영업직원의 횡령으로 22억원의 손실을 본 화장품 업체 클리오가 해당 직원을 해고하고 경찰에 수사를 의뢰했고, 이에 앞서 강동구청에서 115억원 규모 횡령이 발생해 관공서도 안전지대가 아니란 게 확인된 상황입니다.전문가들은 특정 개인이 자금 인출 권한을 갖는 경우가 많은데, 이런 허술한 관리 속에 '한탕주의'가 뿌리내리고 있다고 분석합니다.<공정식 / 경기대 범죄심리학 교수> ""(횡령한) 자금을 활용해서 추가 이익을 내고 그 추가 이익에 대한 금전을 취하면서 동시에 회사에서 뺀 돈은 다시 보전하는 형태로 가장하려고 하는 안전 범죄를 노렸을 것이라고 보여집니다.""인출 권한을 나눠갖는 등 예방 방법은 다양하지만, 고객과 기업의 자산 안전보다 업무 효율성을 택하는 경우가 아직도 많다는 설명입니다.<박성준 / 동국대 블록체인연구센터장> ""비밀 분산 메카니즘을 사용하면 혼자서 횡령할 수 없습니다. 몰라서 안 하는 게 아니라, '기술의 문제'가 아니라 '관리의 문제'라는 것입니다.""횡령은 회사 내부적으로는 물론 주식시장 등 사회적 여파도 적지않은 만큼 처벌을 강화해야한다는 목소리가 커지고 있습니다.연합뉴스TV 최덕재입니다. (DJY@yna.co.kr)#회삿돈 #횡령 #LG유플러스연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23"
25일 장 마감 후 주요 종목뉴스,2022-03-25 19:37,이데일리,"[이데일리 김나리 기자] 다음은 25일 장 마감 후 주요 공시다.△하나금융지주(086790)=이사회 결의를 통해 함영주 대표이사 체제로 변경했다고 공시. 또 자회사인 하나금융투자가 안정적인 운영자금을 목적으로 9244억4500만원 규모의 차입금 실행을 결정했다고 공시. 이는 자기자본 대비 20.9%에 해당하는 금액.△대우건설(047040)=서울시 성동구 행당제7구역 주택재개발정비사업 공사를 수주했다고 공시. 계약금액은 2192억2900만원으로 최근 매출액 대비 2.69% 규모.△한국콜마(161890)=최현규 대표이사를 신규 선임했다고 공시.△한국콜마홀딩스(024720)=안병준 대표이사를 신규 선임했다고 공시.△삼성물산(028260)=삼성전자 평택사업장 P3 FAB동·복합동 하부서편(Ph1) 마감공사를 수주했다고 공시. 계약금액은 1조7465억원으로 최근 매출액 대비 5.78%에 해당하는 규모.△HDC현대산업개발(294870)=유동성 확보 등을 위해 금융기관으로부터 5100억원 규모의 차입금 실행을 결정했다고 공시. 이는 자기자본 대비 18.6%에 해당하는 규모.△삼성SDS(018260)=이부진 호텔신라 사장과 이서현 삼성복지재단 이사장이 보유 주식 총 301만8860주를 처분했다고 공시. 지난 22일 1인당 150만9430주씩 시간 외 매매 방식을 통해 주식을 매도했으며 처분 단가는 주당 12만7680원. 두 사람이 보유한 삼성SDS 주식은 각각 151만1584주(1.95%)로 감소.△퍼시스(016800)=박광호 대표이사를 신규선임하며 배상돈, 박광호 대표이사 체제로 전환.△부광약품(003000)=유희원 대표이사를 신규선임하며 이우현, 유희원 각자 대표이사 체제로 변경했다고 공시.△GS건설(006360)=토지담보 한도대출을 통해 2500억원을 차입했다고 공시. 차입금은 자기자본 대비 5.8% 규모. 차입목적은 한도대출 확대를 통한 유동성 여유분 확보.△흥국화재(000540)=임규준 대표이사를 신규 선임했다고 공시."
`바닥론` 베팅한 개인..테마주만 `요동` [증시프리즘],2022-03-25 19:26,한국경제TV,"<앵커>증시프리즘 시작합니다.증권부 지수희기자 나와있습니다.먼저 오늘 증시 상황부터 정리해주시죠.<기자>오늘 코스피는 하루 종일 빨간불과 파란불을 왔다갔다 했습니다.보합권에서 내내 움직였는데 다행이 장 막판 소폭 상승으로 마감했습니다.0.01%상승한 2729.98포인트로 2730선에 조금 못미친 수치로 장을 마쳤습니다.코스닥은 소폭이긴 하지만 내내 빨간불을 켜냈습니다.코스닥은 전 거래일보다 0.32%오른 934.69로마감을 했습니다.오늘 코스피 시장에서는 외국인과 기관이 동반 매도하면서 지수상방을 제한했습니다.외국인이 5300억원 기관이 1700억원을 팔았고, 개인이 이 물량을 받아냈습니다.6900억원을 사들이면서 지수하락을 방어했습니다.<앵커>오늘 장은 주춤했지만 이번주 전반적으로는 시장 흐름이 나름 좋았지요?이번주 증시 특징 짚어볼까요?<기자>네, 이번주는 증시 특징 첫번째 <바닥 다졌나?..2700선 회복>입니다.지난주까지만 해도 FOMC 불확실성과 우크라이나사태 고조, 인플레 우려 등으로 2600선에서 움직였는데요.이번주는 새로운 악재가 등장하지 않은 가운데 지난주 2600을 저점으로 보는 투자자들이 유입되면서 2700선을 돌파했습니다.코스피 주간 변동을 보시면 월요일은 2600선에서 머물렀지만 이틀연속 상승하면서 2735까지 상승했습니다.주 후반 주춤한 모습을 보였지만 이번주 내내 2700위에서 머물렀습니다.2600선이 바닥일지에 대한 논란이 있지만 대체로 전문가들은 2600선을 단기 바닥으로 인식하고 있습니다.정인지 유안타증권 연구원은 ""코스피 2600선은 과매도 국면""이라며 ""추가 하락이 쉽지 않다""고 분석하고 있습니다.실제로 2600선까지 떨어졌을 때는 우크라이나 악재와 인플레 우려가 극에 달했는데 현재는 그 어느 것도 명확히 해결됐다고 볼수는 없지만 공포심은 어느 정도 완화된 것으로 보입니다.<앵커>두번째 특징 짚어주시죠.<기자>두번째 특징은 <개인, `바닥론` 베팅..기관 매도 `뇌관`> 입니다.이번주 코스피 상승을 이끈 것은 단연 개인입니다.개인은 지수가 2600선에 머물때부터 `바닥론`에 베팅을 하고 있습니다.이번주 개인들은 1조7천억원을 순매수했습니다.이달 전체로 보자면 7조원을 넘어선 수치입니다.이달 들어 외국인 매도세가 강해지고 있어 우려했었는데 다행이 이번주에는 외국인들도 소폭 순매수로 전환했습니다.외국인은 이번주 3700억원을 사들였습니다.다만 기관들의 매도세가 강하게 나왔는데요.기관이 2조원 넘게 팔아치웠는데 특히 은행에서 1조7천억 넘게 팔아치웠습니다.지수가 반짝상승하면서 펀드 등에서 차익실현 물량이 쏟아진 것으로 분석됩니다.<앵커>이번주 특징주들도 살펴주시죠.<기자>이번주 가장 사랑받았던 종목은 단연 LG에너지솔루션입니다.LG에너지솔루션은 전기차 업황이 개선될 것이라는 전망이 나오면서 7거래일 연속 상승세를 탔습니다.2주만에 40만원을 탈환했고, 오늘도 7%넘게 상승을 하면서 44만원에 육박했는데요.증권사들은 LG에너지솔루션에 대해 그동안의 우려가 과도했다면서 목표주가를 상향했습니다.NH투자증권은 목표주가를 당초 52만원에서 55만원으로 상향조정했습니다.그러면서 ""완성차업체들의 생산차질에도 테슬라의 출하량이 견조한 성장을 이어가고 있다""면서 ""LG엔솔의 올해 실적도 매출 21조원, 영업익 1조원으로 컨센서스에 부합할 전망이라고 설명했습니다.신한금융투자도 목표가를 55만원으로 상향했는데 ""전기차용 원통형 전지판매가 지속되고 있다""면서 ""구리나 알루미늄 등에 대한 판가 협상 등으로 수익성 둔화가 최소화되고 있다""고 설명했습니다.<앵커>두번째 특징주는요?<기자>이번주 주목받았던 또 다른 특징주 `안랩`입니다.이번주 21만원까지 상승했다가 오늘 13만원 선으로 뚝 떨어졌습니다.안랩은 지난달 6만 원 대였는데 안철수 대통령직인수위원장 임명이 부각되면서 이번달 21만원대까지 상승했습니다.3배 넘게 오른건데요.특히 JP모건 등 외국계 IB들의 매입소식이 주가를 한껏 끌어올렸습니다.그런데 외국인들은 `단타`를 노리고 들어왔다 빠르게 나가면서 추격매수에 나선 개인들만 희생량이 됐습니다.JP모건의 안랩 지분율을 살펴보면 17일 안랩의 지분을 5% 넘게 취득하면서 금감원에 공시를 했습니다.하지만 안랩이 신고가를 기록했던 24일에는 지분율이 0.79%로 뚝 떨어졌습니다.17일 안랩의 종가는 9만원 수준이었는데 24일에는 최고가 21만8500원을 찍고 윗꼬리를 달면서 추락했습니다.이날까지 JP모건은 대부분의 주식을 팔아치웠기 때문입니다.흔히 말하는 `단타`를 친건데요.외국인 매수를 보고 호재로 인식한 개인들의 손실은 불가피해졌습니다 .<앵커>이번주 특히 사료관련주들의 움직임도 두드러졌죠?<기자>네 우크라이나 사태가 봉합될 기미가 보이지 않으면서 사료 관련주들이 내내 강세를 보였습니다.러시아와 우크라이나가 최대 곡물 생산지인데 전쟁 장기화로 곡물가격 상승이 우려되면서 현대사료는 5거래일 연속 상한가를 기록했습니다.현대사료는 현재 투자경고 종목으로 지정됐고, 현재로서는 다음주 월요일 하루동안 매매거래가 정지될 예정입니다.현대사료 뿐 아니라 이번주 내내 한일사료, 팜스토리 등도 강세를 보였습니다.사료주 뿐 아니라 수산물 가격 급등소식에 수산주도 이번주 반짝 강세를 보였는데 종목에 따라서 하루만에 반락하는 등 높은 변동성을 보였습니다.<앵커>주로 테마주들이 움직이는 한주였군요.다음주 주목해야 할 증시 일정들 정리해주시죠.<기자>네, 다음주에는 국내외 경제지표를 잘 살펴볼 필요가 있습니다.한국과 미국에서 소비자심리 지수가 발표되는데 한국은 억눌렸던 소비가 폭발할 수 있는지 기로에 있는 상황이고요.미국은 물가급등, 소비심리저하 등 경기 둔화 우려가 커지고 있는 상황이어서 지표들을 살펴봐야 합니다.30일에는 국내 증시에서는 오스템임프란트의 코스닥 기업심사위원회가 진행됩니다.한차례 상장폐지 위기를 잘 넘겼었는데 오스템임플란트의 운명이 어떻게 결정될 지켜보시는게 좋겠습니다.또 이날 미국의 민간 고용지표가 나옵니다.최근 미국의 고용이 개선되면서 5월 금리인상에서 `빅스텝` 가능성이 높아지고 있는 상황이기 때문에 변수는 없는지 체크해야합니다.또 이날 마이크론테크놀로지의 실적발표가 있는데 최근 필라델피아반도체지수가 상승하고 있습니다.마이크론의 호실적 발표 여부에 따라서 국내 반도체주의 영향이 크기 때문에 살펴봐야 합니다.<앵커>증시프리즘, 증권부 지수희 기자였습니다."
"가온미디어, 임동연 대표이사 신규 선임",2022-03-25 19:12,아시아경제,가온미디어는 임동연 대표이사를 신규 선임했다고 25일 공시했다.
"HDC현산, 이달에만 8천100억원 유동성 확보…""사업 안전성 차원""",2022-03-25 19:01,연합뉴스,"HDC현대산업개발 용산 본사 [연합뉴스 자료사진](서울=연합뉴스) 서미숙 기자 = HDC현대산업개발이 이달에만 총 8천100억원의 유동성을 확보했다.HDC현산은 25일 공시를 통해 증권사를 비롯한 금융기관으로부터 보유자산 토지를 담보로 5천100억원의 유동성을 추가로 확보했다고 밝혔다.현산은 앞서 지난 16일에도 3천억원을 마련해 유동자금을 8천100억원으로 늘렸다.현산 관계자는 ""유동성 확보는 최근 추진하고 있는 사업에 대한 안정성을 확보하는 동시에 시장의 유동성 우려에 따른 불확실성을 해소하고자 선제적 대응 차원에서 이뤄졌다""고 설명했다.이 관계자는 이어 ""앞으로도 주력 회사의 보유현금뿐 아니라 지주사를 포함한 보유자산을 활용해 지속적으로 유동성을 확보해 나갈 계획""이라며, ""ESG(환경·사회·지배구조) 경영 체계를 강화해 고객과 주주, 국민으로부터 신뢰받을 수 있는 사회적 기업으로 거듭나기 위해 노력하겠다""고 말했다.sms@yna.co.kr"
